Team,Player,Position,On_start,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_Actual,Avg_last_5_games,Value,Squad_Average_Points,J_4_Squad_Points,J_3_Squad_Points,J_2_Squad_Points,J_1_Squad_Points,J_Actual_Squad_Points,Squad_Avg_last_5_Games,Value_Squad,vs,Vs_Team,Vs_Squad_Average_Points,J_4_Vs_Squad_Points,J_3_Vs_Squad_Points,J_2_Vs_Squad_Points,J_1_Vs_Squad_Points,J_Actual_Vs_Squad_Points,Vs_Squad_Avg_last_5_Games,Vs_Value_Squad,Team_clas,Vs_Team_clas
Athletic Club,Unai Simón,PT,88,4.5,"['2', '5', '1', '7', '-']",2,5,1,7,0,3.0,3280000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Agirrezabala,PT,12,5.0,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,360000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Ezkieta,PT,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Iñigo Martínez,DF,64,5.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,5460000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Daniel Vivian,DF,61,5.1,"['2', '3', '4', '1', '-']",2,3,4,1,0,2.0,3410000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,De Marcos,DF,45,4.7,"['3', '3', '-', '4', '4']",3,3,0,4,4,2.8,1440000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Yeray Álvarez,DF,55,4.4,"['-', '3', '3', '2', '2']",0,3,3,2,2,2.0,2880000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Lekue,DF,64,3.6,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,1250000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Balenziaga,DF,70,3.2,"['-', '6', '-', '2', '0']",0,6,0,2,0,1.6,1070000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Yuri Berchiche,DF,18,5.7,"['8', '-', '1', '5', '-']",8,0,1,5,0,2.8,4510000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Álex Petxarroman,DF,3,1.8,"['3', '4', '0', '2', '-']",3,4,0,2,0,1.8,500000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Unai Núñez,DF,21,2.7,"['4', '-', '-', '-', '-1']",4,0,0,0,-1,0.6,490000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Capa,DF,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,550000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Muniain,MD,88,7.0,"['4', '9', '4', '15', '6']",4,9,4,15,6,7.6,10570000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Álex Berenguer,MD,67,4.1,"['13', '2', '4', '-', '-']",13,2,4,0,0,3.8,4460000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Unai Vencedor,MD,79,3.2,"['3', '3', '5', '2', '4']",3,3,5,2,4,3.4,2030000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Mikel Vesga,MD,42,2.8,"['4', '1', '3', '2', '-']",4,1,3,2,0,2.0,1230000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Dani García,MD,70,2.7,"['-', '2', '-', '2', '2']",0,2,0,2,2,1.2,1010000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Nico Williams,MD,21,2.3,"['2', '2', '2', '2', '0']",2,2,2,2,0,1.6,3660000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
Athletic Club,Zarraga,MD,24,2.6,"['2', '2', '2', '2', '1']",2,2,2,2,1,1.8,910000,90.7,77,60,46,63,43,57.8,69180000,Atlético Madrid,Atlético Madrid,95.7,79,53,57,73,57,63.8,123320000,8,4
