Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
3,CA Osasuna,Sergio Herrera,PT,0,94,0,0,69,4.3,"['1', '1', '3', '9', '0']",1,1,3,9,0,2.8,4220000
3,CA Osasuna,Juan Pérez,PT,1,6,2,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
3,CA Osasuna,David García Zub.,DF,17,100,3,0,101,5.9,"['6', '6', '4', '7', '9']",6,6,4,7,9,6.4,5200000
3,CA Osasuna,Nacho Vidal,DF,16,88,0,0,68,4.3,"['3', '2', '8', '5', '2']",3,2,8,5,2,4.0,2710000
3,CA Osasuna,Unai García,DF,12,65,0,0,46,3.8,"['0', '6', '2', '6', '3']",0,6,2,6,3,3.4,1340000
3,CA Osasuna,José Ángel Cote,DF,11,24,1,1,38,3.5,"['2', '-', '6', '-', '3']",2,0,6,0,3,2.2,1230000
3,CA Osasuna,Juan Cruz,DF,6,29,0,0,19,3.2,"['-', '4', '-', '5', '2']",0,4,0,5,2,2.2,460000
3,CA Osasuna,Aridane Hernández,DF,6,35,0,0,15,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1830000
3,CA Osasuna,Jesús Areso,DF,2,12,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
3,CA Osasuna,Ramalho,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
3,CA Osasuna,Lucas Torró,MD,14,82,1,0,71,5.1,"['4', '4', '-', '4', '3']",4,4,0,4,3,3.0,4360000
3,CA Osasuna,Jon Moncayola,MD,16,82,1,2,68,4.3,"['2', '5', '4', '5', '7']",2,5,4,5,7,4.6,4030000
3,CA Osasuna,Rubén García,MD,16,76,0,1,64,4,"['6', '-', '2', '2', '0']",6,0,2,2,0,2.0,5790000
3,CA Osasuna,Roberto Torres,MD,12,29,2,2,58,4.8,"['2', '-', '2', '-', '3']",2,0,2,0,3,1.4,4480000
3,CA Osasuna,Brasanac,MD,17,82,0,1,50,2.9,"['2', '4', '4', '2', '2']",2,4,4,2,2,2.8,1730000
3,CA Osasuna,Javi Martínez Calvo,MD,10,18,1,0,39,3.9,"['-', '-', '-', '6', '-']",0,0,0,6,0,1.2,1070000
3,CA Osasuna,Kike Barja,MD,16,29,2,0,20,2.9,"['5', '-', '6', '2', '1']",5,0,6,2,1,2.8,1540000
3,CA Osasuna,Kike García,DL,16,76,2,0,58,3.6,"['2', '2', '4', '-', '2']",2,2,4,0,2,2.0,4430000
3,CA Osasuna,Oier,MD,13,29,0,0,17,1.3,"['-', '2', '2', '-', '-']",0,2,2,0,0,0.8,580000
3,CA Osasuna,Iñigo Pérez,MD,5,12,1,0,13,2.6,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,470000
3,CA Osasuna,Robert Ibáñez,MD,4,6,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
3,CA Osasuna,Ontiveros,MD,3,0,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,710000
3,CA Osasuna,Jaume Grau,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
3,CA Osasuna,Barbero,DL,6,0,0,0,4,1.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
3,CA Osasuna,Ezequiel Ávila,DL,17,35,3,0,68,4,"['3', '3', '2', '4', '10']",3,3,2,4,10,4.4,6260000
3,CA Osasuna,Budimir,DL,8,18,1,0,23,2.9,"['2', '3', '7', '2', '2']",2,3,7,2,2,3.2,3580000
