Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_12,J_13,J_14,J_15,J_16,Avg_last_5_games,Value
2,Club Atlético de Madrid,Oblak,PT,0,100,0,0,49,3.3,"['7', '2', '9', '1', '1']",7,2,9,1,1,4.0,5360000
2,Club Atlético de Madrid,Lecomte,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
2,Club Atlético de Madrid,Savic,DF,13,87,0,0,58,4.5,"['4', '4', '7', '7', '2']",4,4,7,7,2,4.8,4630000
2,Club Atlético de Madrid,José Giménez,DF,10,67,0,0,53,5.3,"['8', '2', '-', '3', '-']",8,2,0,3,0,2.6,4870000
2,Club Atlético de Madrid,Mario Hermoso,DF,14,80,0,1,45,3.2,"['5', '2', '6', '2', '2']",5,2,6,2,2,3.4,2890000
2,Club Atlético de Madrid,Trippier,DF,12,60,0,0,39,3.3,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8,4090000
2,Club Atlético de Madrid,Felipe,DF,8,40,1,1,38,4.8,"['-', '-', '15', '2', '5']",0,0,15,2,5,4.4,2140000
2,Club Atlético de Madrid,Vrsaljko,DF,6,7,1,1,28,4.7,"['-', '-', '-', '-', '6']",0,0,0,0,6,1.2,1440000
2,Club Atlético de Madrid,Renan Lodi,DF,12,27,0,0,28,2.3,"['-', '12', '6', '-', '1']",0,12,6,0,1,3.8,1520000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,14,60,0,1,74,5.3,"['10', '4', '2', '8', '5']",10,4,2,8,5,5.8,8570000
2,Club Atlético de Madrid,Lemar,MD,9,47,3,2,55,6.1,"['-', '-', '3', '14', '2']",0,0,3,14,2,3.8,7000000
2,Club Atlético de Madrid,Kondogbia,MD,10,33,0,0,48,4.8,"['-', '-', '5', '7', '4']",0,0,5,7,4,3.2,3660000
2,Club Atlético de Madrid,Marcos Llorente,MD,11,73,0,1,48,4.4,"['-', '1', '4', '-', '6']",0,1,4,0,6,2.2,9810000
2,Club Atlético de Madrid,Koke,MD,0,80,0,0,47,3.9,"['4', '1', '6', '3', '8']",4,1,6,3,8,4.4,6510000
2,Club Atlético de Madrid,Héctor Herrera,MD,7,13,0,0,29,4.1,"['2', '1', '-', '-', '-']",2,1,0,0,0,0.6,910000
2,Club Atlético de Madrid,Carlos Martín,MD,1,0,0,0,3,3,"['-', '-', '3', '-', '-']",0,0,3,0,0,0.6,370000
2,Club Atlético de Madrid,Correa,DL,15,67,4,4,84,5.6,"['8', '7', '3', '10', '6']",8,7,3,10,6,6.8,9790000
2,Club Atlético de Madrid,Luis Suárez,DL,15,67,7,1,83,5.5,"['0', '10', '2', '1', '2']",0,10,2,1,2,3.0,16100000
2,Club Atlético de Madrid,Griezmann,DL,15,93,3,1,81,5.4,"['10', '7', '3', '15', '5']",10,7,3,15,5,8.0,16440000
2,Club Atlético de Madrid,Matheus Cunha,DL,11,7,3,1,57,5.2,"['5', '-', '4', '14', '11']",5,0,4,14,11,6.8,4780000
2,Club Atlético de Madrid,João Félix,DL,8,20,1,1,34,4.3,"['9', '2', '-', '-', '2']",9,2,0,0,2,2.6,9130000
2,Club Atlético de Madrid,Saponjic,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
