Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
17,Cádiz CF,Jeremías Ledesma,PT,17,100,31,0,58,3.4,"['11', '2', '-1', '-1', '5']",11,2,-1,-1,5,3.2,2530000
17,Cádiz CF,David Gil,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
17,Cádiz CF,Espino,DF,17,100,2,0,73,4.3,"['9', '1', '0', '2', '5']",9,1,0,2,5,3.4,4110000
17,Cádiz CF,Varazdat Haroyan,DF,14,82,1,0,48,3.4,"['5', '5', '0', '1', '-']",5,5,0,1,0,2.2,1350000
17,Cádiz CF,Fali,DF,15,71,0,2,46,3.1,"['2', '1', '1', '-', '4']",2,1,1,0,4,1.6,1490000
17,Cádiz CF,Víctor Chust,DF,8,35,0,0,24,3,"['-', '-', '-', '0', '-']",0,0,0,0,0,0.0,920000
17,Cádiz CF,Akapo,DF,9,35,0,0,24,2.7,"['1', '-', '-', '4', '5']",1,0,0,4,5,2.0,600000
17,Cádiz CF,Arzamendia,DF,7,18,1,0,19,2.7,"['4', '-', '1', '-', '11']",4,0,1,0,11,3.2,490000
17,Cádiz CF,Cala,DF,9,41,0,0,13,1.4,"['6', '-1', '2', '-', '2']",6,-1,2,0,2,1.8,750000
17,Cádiz CF,Marcos Mauro,DF,2,6,0,0,3,1.5,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,340000
17,Cádiz CF,Álex Fernández,MD,15,65,3,1,63,4.2,"['6', '2', '2', '6', '4']",6,2,2,6,4,4.0,3230000
17,Cádiz CF,Tomás Alarcón,MD,14,65,0,1,60,4.3,"['-', '4', '-', '-', '7']",0,4,0,0,7,2.2,2240000
17,Cádiz CF,Jens Jonsson,MD,15,71,0,1,58,3.9,"['6', '-', '0', '5', '5']",6,0,0,5,5,3.2,1940000
17,Cádiz CF,Salvi,MD,15,71,1,1,50,3.3,"['10', '2', '2', '-', '-3']",10,2,2,0,-3,2.2,1890000
17,Cádiz CF,Alberto Perea,MD,12,41,0,1,39,3.3,"['7', '2', '4', '6', '-']",7,2,4,6,0,3.8,1260000
17,Cádiz CF,Álvaro Jiménez,MD,9,6,0,0,23,2.6,"['-', '2', '-', '2', '-']",0,2,0,2,0,0.8,590000
17,Cádiz CF,Martín Calderón,MD,5,0,0,0,12,2.4,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,280000
17,Cádiz CF,Álvaro Bastida,MD,4,12,0,0,8,1.6,"['-', '1', '2', '-', '-']",0,1,2,0,0,0.6,370000
17,Cádiz CF,Iván Alejo,MD,3,6,0,0,5,1.7,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,300000
17,Cádiz CF,José Mari,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
17,Cádiz CF,Negredo,DL,15,47,2,0,56,3.7,"['6', '4', '2', '2', '-']",6,4,2,2,0,2.8,4490000
17,Cádiz CF,Sobrino,DL,14,65,0,1,39,2.8,"['5', '1', '2', '0', '2']",5,1,2,0,2,2.0,1950000
17,Cádiz CF,Osmajic,DL,8,6,0,0,20,2.5,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,820000
17,Cádiz CF,Iván Chapela,DL,6,12,0,0,15,2.5,"['4', '2', '2', '-', '-']",4,2,2,0,0,1.6,430000
17,Cádiz CF,Florin Andone,DL,3,6,0,0,5,1.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,610000
