Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
16,Deportivo Alavés,Pacheco,PT,12,86,16,0,58,4.8,"['5', '-', '8', '4', '7']",5,0,8,4,7,4.8,2980000
16,Deportivo Alavés,Sivera,PT,3,14,3,0,8,2.7,"['2', '4', '-', '-', '-']",2,4,0,0,0,1.2,350000
16,Deportivo Alavés,Laguardia,DF,13,93,2,1,67,5.2,"['9', '6', '3', '7', '2']",9,6,3,7,2,5.4,3800000
16,Deportivo Alavés,Rubén Duarte,DF,13,93,0,1,46,3.5,"['7', '0', '7', '3', '3']",7,0,7,3,3,4.0,2630000
16,Deportivo Alavés,Miazga,DF,8,43,0,0,35,4.4,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,1490000
16,Deportivo Alavés,Ximo Navarro,DF,9,64,0,0,29,3.2,"['5', '1', '-', '-', '-']",5,1,0,0,0,1.2,950000
16,Deportivo Alavés,Lejeune,DF,8,57,0,0,28,3.5,"['6', '6', '6', '0', '2']",6,6,6,0,2,4.0,2870000
16,Deportivo Alavés,Martín Aguirregabiria,DF,9,50,0,1,28,3.1,"['4', '1', '6', '0', '1']",4,1,6,0,1,2.4,1060000
16,Deportivo Alavés,Alberto Rodríguez,DF,2,7,0,0,5,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,370000
16,Deportivo Alavés,Saúl García,DF,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
16,Deportivo Alavés,Facundo Pellistri,MD,13,36,0,0,27,2.1,"['3', '1', '2', '-', '3']",3,1,2,0,3,1.8,960000
16,Deportivo Alavés,Luis Rioja,MD,14,93,1,1,48,3.4,"['1', '11', '3', '2', '5']",1,11,3,2,5,4.4,2610000
16,Deportivo Alavés,Toni Moya,MD,13,64,0,1,45,3.5,"['5', '2', '3', '7', '2']",5,2,3,7,2,3.8,1560000
16,Deportivo Alavés,Mamadou Loum,MD,14,71,1,0,44,3.1,"['11', '1', '2', '1', '4']",11,1,2,1,4,3.8,1430000
16,Deportivo Alavés,Manu García Alonso,MD,13,36,0,0,44,3.4,"['4', '4', '4', '4', '2']",4,4,4,4,2,3.6,1400000
16,Deportivo Alavés,Tomás Pina,MD,13,50,0,0,31,2.4,"['2', '3', '-', '2', '2']",2,3,0,2,2,1.8,890000
16,Deportivo Alavés,Edgar Méndez,MD,10,36,0,0,25,2.5,"['6', '3', '2', '2', '2']",6,3,2,2,2,3.0,940000
16,Deportivo Alavés,Pere Pons,MD,9,50,0,0,24,2.7,"['4', '3', '1', '2', '4']",4,3,1,2,4,2.8,910000
16,Deportivo Alavés,Iván Martín,MD,1,7,0,0,4,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,560000
16,Deportivo Alavés,Joselu,DL,14,86,7,1,97,6.9,"['2', '7', '16', '9', '11']",2,7,16,9,11,9.0,11000000
16,Deportivo Alavés,Guidetti,DL,8,14,0,0,22,2.8,"['-', '-', '2', '-', '3']",0,0,2,0,3,1.0,920000
16,Deportivo Alavés,Mamadou Sylla,DL,8,21,0,0,17,2.1,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,1050000
16,Deportivo Alavés,Miguel de la Fuente,DL,7,21,0,1,17,2.4,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,690000
