Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
16,Deportivo Alavés,Pacheco,PT,16,89,0,0,63,3.9,"['7', '0', '2', '2', '-']",7,0,2,2,0,2.2,2730000
16,Deportivo Alavés,Sivera,PT,3,11,0,0,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
16,Deportivo Alavés,Laguardia,DF,17,94,2,1,79,4.6,"['2', '4', '4', '0', '-']",2,4,4,0,0,2.0,4610000
16,Deportivo Alavés,Rubén Duarte,DF,16,83,0,1,54,3.4,"['3', '-', '4', '4', '-']",3,0,4,4,0,2.2,2450000
16,Deportivo Alavés,Martín Aguirregabiria,DF,13,61,0,1,41,3.2,"['1', '5', '6', '2', '-']",1,5,6,2,0,2.8,1030000
16,Deportivo Alavés,Lejeune,DF,11,61,0,0,36,3.3,"['2', '5', '2', '-', '-']",2,5,2,0,0,1.8,2530000
16,Deportivo Alavés,Miazga,DF,8,33,0,0,35,4.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1190000
16,Deportivo Alavés,Ximo Navarro,DF,9,50,0,0,29,3.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,830000
16,Deportivo Alavés,Miguel de la Fuente,DL,9,22,0,1,21,2.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,620000
16,Deportivo Alavés,Javi López Carballo,DF,5,17,0,0,5,1,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,400000
16,Deportivo Alavés,Saúl García,DF,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
16,Deportivo Alavés,Facundo Pellistri,MD,16,33,0,0,32,2,"['3', '2', '2', '1', '-']",3,2,2,1,0,1.6,1040000
16,Deportivo Alavés,Luis Rioja,MD,18,94,1,1,64,3.6,"['5', '8', '2', '5', '-']",5,8,2,5,0,4.0,3700000
16,Deportivo Alavés,Mamadou Sylla,DL,12,22,0,0,26,2.2,"['2', '3', '2', '2', '-']",2,3,2,2,0,1.8,1030000
16,Deportivo Alavés,Manu García Alonso,MD,16,33,0,0,57,3.6,"['2', '4', '6', '3', '-']",2,4,6,3,0,3.0,1440000
16,Deportivo Alavés,Toni Moya,MD,17,61,0,1,53,3.1,"['2', '1', '2', '4', '-']",2,1,2,4,0,1.8,1640000
16,Deportivo Alavés,Pere Pons,MD,13,61,1,0,37,2.8,"['4', '2', '1', '2', '-']",4,2,1,2,0,1.8,950000
16,Deportivo Alavés,Tomás Pina,MD,15,44,0,0,37,2.5,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8,800000
16,Deportivo Alavés,Edgar Méndez,MD,14,33,0,0,35,2.5,"['2', '2', '5', '3', '-']",2,2,5,3,0,2.4,1250000
16,Deportivo Alavés,Iván Martín,MD,5,6,0,0,6,1.2,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,510000
16,Deportivo Alavés,Joselu,DL,18,89,9,2,129,7.2,"['11', '5', '9', '3', '-']",11,5,9,3,0,5.6,13670000
16,Deportivo Alavés,Guidetti,DL,8,11,0,0,22,2.8,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,750000
