Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_12,J_13,J_14,J_15,J_16,Avg_last_5_games,Value
18,Elche CF,Kiko Casilla,PT,12,75,15,0,59,4.9,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,3050000
18,Elche CF,Édgar Badía,PT,4,25,7,0,13,3.3,"['-', '-1', '0', '3', '11']",0,-1,0,3,11,2.6,1230000
18,Elche CF,Axel Werner,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
18,Elche CF,Johan Mojica,DF,16,94,1,2,68,4.3,"['2', '6', '2', '2', '4']",2,6,2,2,4,3.2,5190000
18,Elche CF,Enzo Roco,DF,14,81,1,0,51,3.6,"['7', '4', '-1', '5', '2']",7,4,-1,5,2,3.4,2660000
18,Elche CF,Helibelton Palacios,DF,13,56,0,0,42,3.2,"['3', '-', '2', '4', '2']",3,0,2,4,2,2.2,1230000
18,Elche CF,Diego González,DF,12,44,0,0,38,3.2,"['-', '1', '4', '0', '6']",0,1,4,0,6,2.2,1170000
18,Elche CF,Bigas,DF,9,56,0,0,34,3.8,"['1', '5', '-3', '-', '-']",1,5,-3,0,0,0.6,1740000
18,Elche CF,Gonzalo Verdú,DF,8,50,0,0,26,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1660000
18,Elche CF,Barragán,DF,7,31,0,0,18,2.6,"['-', '1', '-1', '3', '-']",0,1,-1,3,0,0.6,560000
18,Elche CF,Josema,DF,4,6,0,0,6,1.5,"['-', '-1', '-', '-', '-']",0,-1,0,0,0,-0.2,490000
18,Elche CF,John Donald,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
18,Elche CF,Fidel,MD,14,88,2,2,60,4.3,"['4', '4', '-', '9', '8']",4,4,0,9,8,5.0,3720000
18,Elche CF,Omar Mascarell,MD,13,75,0,0,41,3.2,"['1', '4', '2', '3', '2']",1,4,2,3,2,2.4,1520000
18,Elche CF,Raúl Guti,MD,14,63,0,0,38,2.7,"['-1', '-', '4', '2', '-']",-1,0,4,2,0,1.0,1960000
18,Elche CF,Gumbau,MD,11,25,0,1,34,3.1,"['-', '3', '3', '2', '10']",0,3,3,2,10,3.6,660000
18,Elche CF,Josan,MD,10,31,1,1,34,3.4,"['2', '2', '4', '4', '6']",2,2,4,4,6,3.6,1210000
18,Elche CF,Iván Marcone,MD,10,38,0,0,30,3,"['2', '2', '-', '6', '0']",2,2,0,6,0,2.0,810000
18,Elche CF,Pastore,MD,8,25,0,0,21,2.6,"['5', '2', '1', '-', '-']",5,2,1,0,0,1.6,2150000
18,Elche CF,Piatti,MD,3,13,0,0,13,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,730000
18,Elche CF,Lucas Boyé,DL,13,75,4,0,66,5.1,"['5', '17', '2', '2', '2']",5,17,2,2,2,5.6,6820000
18,Elche CF,Benedetto,DL,13,38,2,1,50,3.8,"['5', '2', '-', '-', '2']",5,2,0,0,2,1.8,2820000
18,Elche CF,Lucas Pérez,DL,13,69,2,0,49,3.8,"['4', '2', '6', '1', '6']",4,2,6,1,6,3.8,5470000
18,Elche CF,Pere Milla,DL,11,13,1,1,35,3.2,"['9', '-', '-', '-', '5']",9,0,0,0,5,2.8,1150000
18,Elche CF,Guido Carrillo,DL,0,6,0,0,30,2.7,"['-', '-', '5', '-', '2']",0,0,5,0,2,1.4,750000
