Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
5,FC Barcelona,Ter Stegen,PT,12,86,13,0,39,3.3,"['3', '1', '-3', '8', '2']",3,1,-3,8,2,2.2,4040000
5,FC Barcelona,Neto,PT,2,14,3,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470000
5,FC Barcelona,Sergiño Dest,DF,11,71,0,3,61,5.5,"['6', '7', '6', '8', '6']",6,7,6,8,6,6.6,4590000
5,FC Barcelona,Jordi Alba,DF,10,71,0,4,61,6.1,"['6', '6', '-', '-', '-']",6,6,0,0,0,2.4,7610000
5,FC Barcelona,Piqué,DF,12,79,1,0,51,4.3,"['4', '2', '-', '4', '4']",4,2,0,4,4,2.8,5270000
5,FC Barcelona,Ronald Araujo,DF,10,36,1,0,43,4.3,"['-', '-', '1', '2', '7']",0,0,1,2,7,2.0,5360000
5,FC Barcelona,Mingueza,DF,11,50,0,0,40,3.6,"['-', '4', '2', '2', '2']",0,4,2,2,2,2.0,2580000
5,FC Barcelona,Eric García,DF,11,79,0,0,34,3.1,"['5', '4', '2', '5', '1']",5,4,2,5,1,3.4,3310000
5,FC Barcelona,Lenglet,DF,6,14,0,0,14,2.3,"['-', '2', '4', '-', '-']",0,2,4,0,0,1.2,1310000
5,FC Barcelona,Umtiti,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470000
5,FC Barcelona,Sergio Busquets,MD,14,100,1,0,79,5.6,"['9', '7', '12', '7', '4']",9,7,12,7,4,7.8,8400000
5,FC Barcelona,De Jong,MD,11,79,1,2,71,6.5,"['-', '-', '8', '6', '13']",0,0,8,6,13,5.4,13210000
5,FC Barcelona,Coutinho,MD,10,29,2,0,42,4.2,"['-2', '4', '-', '2', '13']",-2,4,0,2,13,3.4,3680000
5,FC Barcelona,Sergi Roberto,MD,9,29,2,1,41,4.6,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,3240000
5,FC Barcelona,Gavi,MD,12,64,0,1,38,3.5,"['1', '5', '2', '6', '4']",1,5,2,6,4,3.6,8910000
5,FC Barcelona,Pedri,MD,2,14,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,8470000
5,FC Barcelona,Depay,DL,14,100,8,2,126,9,"['6', '12', '9', '12', '8']",6,12,9,12,8,9.4,20630000
5,FC Barcelona,Ansu Fati,DL,5,21,3,0,42,8.4,"['-', '-', '10', '-', '-']",0,0,10,0,0,2.0,16220000
5,FC Barcelona,Braithwaite,DL,0,21,0,0,22,7.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,3150000
5,FC Barcelona,Luuk de Jong,DL,6,14,1,0,23,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4130000
5,FC Barcelona,Abde Ezzalzouli,DL,4,7,0,0,16,4,"['-', '2', '4', '5', '5']",0,2,4,5,5,3.2,1610000
5,FC Barcelona,Demir,DL,6,14,0,0,13,2.2,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8,1800000
5,FC Barcelona,Agüero,DL,4,14,1,0,13,3.3,"['2', '-', '-', '1', '-']",2,0,0,1,0,0.6,9660000
5,FC Barcelona,Ilias Akhomach,DL,1,7,0,0,4,4,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,720000
5,FC Barcelona,Dembélé,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,9210000
