Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_12,J_13,J_14,J_15,J_16,Avg_last_5_games,Value
6,Getafe CF,David Soria,PT,16,100,19,0,65,4.1,"['4', '4', '9', '7', '8']",4,4,9,7,8,6.4,2850000
6,Getafe CF,Rubén Yáñez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
6,Getafe CF,Diego Conde,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000
6,Getafe CF,Damián Suárez,DF,14,75,0,1,73,5.2,"['7', '-', '11', '7', '-1']",7,0,11,7,-1,4.8,4220000
6,Getafe CF,Jorge Cuenca,DF,13,75,1,0,60,4.6,"['3', '4', '16', '5', '6']",3,4,16,5,6,6.8,1640000
6,Getafe CF,Mathías Olivera,DF,14,88,1,0,56,4,"['-', '2', '13', '5', '5']",0,2,13,5,5,5.0,1980000
6,Getafe CF,Mitrovic,DF,12,69,0,0,43,3.6,"['4', '4', '4', '6', '6']",4,4,4,6,6,4.8,1340000
6,Getafe CF,Djené,DF,15,94,0,0,35,2.3,"['4', '5', '6', '4', '3']",4,5,6,4,3,4.4,1670000
6,Getafe CF,Jonathan Silva,DF,7,0,0,0,10,1.4,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,710000
6,Getafe CF,Cabaco,DF,4,13,0,1,7,1.8,"['-', '-', '3', '-', '-']",0,0,3,0,0,0.6,400000
6,Getafe CF,Chema,DF,1,6,0,0,1,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
6,Getafe CF,Maksimovic,MD,16,100,0,1,66,4.1,"['2', '2', '5', '6', '4']",2,2,5,6,4,3.8,3880000
6,Getafe CF,Mauro Arambarri,MD,13,81,0,2,61,4.7,"['4', '2', '13', '2', '10']",4,2,13,2,10,6.2,4210000
6,Getafe CF,Aleñá,MD,15,94,0,2,43,2.9,"['7', '0', '4', '3', '5']",7,0,4,3,5,3.8,2580000
6,Getafe CF,Florentino Luís,MD,10,31,0,1,35,3.5,"['3', '-', '5', '4', '-']",3,0,5,4,0,2.4,1670000
6,Getafe CF,Timor,MD,7,19,0,0,13,1.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,420000
6,Getafe CF,Jankto,MD,5,19,0,0,12,2.4,"['-', '1', '2', '-', '-']",0,1,2,0,0,0.6,920000
6,Getafe CF,Vitolo,MD,6,6,0,0,12,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,1700000
6,Getafe CF,Nyom,MD,4,19,0,0,10,2.5,"['3', '3', '-', '-', '-']",3,3,0,0,0,1.2,600000
6,Getafe CF,Enes Ünal,DL,16,75,4,0,71,4.4,"['16', '2', '10', '4', '4']",16,2,10,4,4,7.2,5900000
6,Getafe CF,Jaime Mata,DL,14,19,1,0,41,2.9,"['4', '2', '10', '1', '4']",4,2,10,1,4,4.2,2010000
6,Getafe CF,Sandro Ramírez,DL,11,56,2,0,39,3.5,"['-', '-', '2', '2', '2']",0,0,2,2,2,1.2,3820000
6,Getafe CF,Darío Poveda,DL,11,19,0,0,23,2.1,"['3', '1', '3', '-', '-']",3,1,3,0,0,1.4,660000
6,Getafe CF,José Macías,DL,7,13,0,0,16,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1210000
6,Getafe CF,Mamor Niang,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,190000
