Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
7,Granada CF,Luís Maximiano,PT,13,81,16,0,74,5.7,"['4', '1', '2', '4', '4']",4,1,2,4,4,3.0,4120000
7,Granada CF,Aarón Escandell,PT,4,19,6,0,12,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,810000
7,Granada CF,João Costa,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
7,Granada CF,Ángel Jiménez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
7,Granada CF,Carlos Neva,DF,15,81,0,0,55,3.7,"['4', '0', '2', '-', '6']",4,0,2,0,6,2.4,1950000
7,Granada CF,Germán Sánchez,DF,13,69,2,0,55,4.2,"['4', '2', '3', '5', '5']",4,2,3,5,5,3.8,2160000
7,Granada CF,Luis Abram,DF,8,38,0,0,30,3.8,"['-', '-', '7', '1', '-']",0,0,7,1,0,1.6,1120000
7,Granada CF,Víctor Díaz,DF,9,44,0,0,30,3.3,"['2', '3', '-', '-', '-']",2,3,0,0,0,1.0,860000
7,Granada CF,Sergio Escudero,DF,0,25,0,0,29,2.4,"['2', '3', '2', '2', '2']",2,3,2,2,2,2.2,800000
7,Granada CF,Domingos Duarte,DF,7,44,1,0,28,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1530000
7,Granada CF,Quini,DF,12,69,0,0,22,1.8,"['3', '-', '-', '16', '1']",3,0,0,16,1,4.0,690000
7,Granada CF,Arias,DF,6,13,1,0,20,3.3,"['1', '1', '0', '3', '2']",1,1,0,3,2,1.4,1200000
7,Granada CF,Raúl Torrente,DF,5,19,0,0,6,2,"['-', '2', '2', '2', '2']",0,2,2,2,2,1.6,550000
7,Granada CF,Pepe Sánchez,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
7,Granada CF,Sergio Barcia,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
7,Granada CF,Neyder Lozano,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
7,Granada CF,Montoro,MD,15,56,1,1,59,3.9,"['6', '2', '4', '-', '7']",6,2,4,0,7,3.8,2490000
7,Granada CF,Luis Milla,MD,12,69,1,2,58,4.8,"['-', '-', '-', '6', '9']",0,0,0,6,9,3.0,4610000
7,Granada CF,Rochina,MD,10,50,1,3,52,5.2,"['8', '3', '3', '-', '-']",8,3,3,0,0,2.8,2740000
7,Granada CF,Gonalons,MD,13,75,0,1,45,3.5,"['-', '3', '6', '5', '1']",0,3,6,5,1,3.0,2290000
7,Granada CF,Darwin Machís,MD,9,44,1,0,36,4,"['-', '2', '-', '14', '1']",0,2,0,14,1,3.4,2770000
7,Granada CF,Antonio Puertas,MD,12,44,2,0,35,2.9,"['5', '-', '10', '-', '-']",5,0,10,0,0,3.0,1520000
7,Granada CF,Alberto Soro,MD,10,44,0,0,33,3.3,"['0', '4', '-', '4', '3']",0,4,0,4,3,2.2,850000
7,Granada CF,Monchu,MD,13,44,0,0,25,1.9,"['4', '-8', '-', '1', '-']",4,-8,0,1,0,-0.6,1190000
7,Granada CF,Yan Eteki,MD,5,6,0,0,8,1.6,"['-', '-', '0', '2', '-']",0,0,0,2,0,0.4,390000
7,Granada CF,Isma Ruiz,MD,2,0,0,0,4,2,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,250000
7,Granada CF,Jorge Molina,DL,14,38,3,1,60,4.3,"['1', '3', '14', '4', '10']",1,3,14,4,10,6.4,2520000
7,Granada CF,Bacca,DL,11,25,0,1,37,3.4,"['4', '-', '-', '-', '4']",4,0,0,0,4,1.6,2380000
