Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
10,Levante UD,Aitor Fernández,PT,9,60,19,0,34,3.8,"['1', '1', '-', '-', '-']",1,1,0,0,0,0.4,3040000
10,Levante UD,Rúben Vezo,DF,13,80,0,0,52,4,"['5', '3', '4', '8', '2']",5,3,4,8,2,4.4,2180000
10,Levante UD,Clerc,DF,12,80,0,0,35,2.9,"['-', '-', '-', '5', '11']",0,0,0,5,11,3.2,1570000
10,Levante UD,Mustafi,DF,8,40,1,0,35,4.4,"['-', '0', '-', '9', '0']",0,0,0,9,0,1.8,2340000
10,Levante UD,Óscar Duarte,DF,8,47,0,0,26,3.3,"['2', '5', '5', '3', '2']",2,5,5,3,2,3.4,890000
10,Levante UD,Son,DF,8,40,0,0,26,3.3,"['4', '3', '3', '2', '-']",4,3,3,2,0,2.4,1000000
10,Levante UD,Jorge Miramón,DF,12,53,0,0,23,1.9,"['1', '-', '2', '3', '-']",1,0,2,3,0,1.2,910000
10,Levante UD,Enric Franquesa,DF,8,27,0,0,13,1.6,"['0', '4', '2', '-', '-']",0,4,2,0,0,1.2,490000
10,Levante UD,Sergio Postigo,DF,3,13,0,0,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
10,Levante UD,Coke,DF,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
10,Levante UD,Campaña,MD,8,47,1,0,45,5.6,"['-', '5', '5', '6', '6']",0,5,5,6,6,4.4,7750000
10,Levante UD,Mickael Malsa,MD,10,40,0,1,41,4.1,"['2', '2', '9', '3', '6']",2,2,9,3,6,4.4,1690000
10,Levante UD,Bardhi,MD,9,40,2,1,40,4.4,"['16', '2', '5', '2', '5']",16,2,5,2,5,6.0,3110000
10,Levante UD,Melero,MD,9,53,1,2,38,4.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4210000
10,Levante UD,Pablo Martínez,MD,12,47,0,1,35,2.9,"['2', '1', '-', '-', '-']",2,1,0,0,0,0.6,930000
10,Levante UD,Jorge de Frutos,MD,13,67,1,2,34,2.6,"['0', '3', '7', '5', '2']",0,3,7,5,2,3.4,4060000
10,Levante UD,Alejandro Cantero,MD,11,13,0,0,22,2,"['2', '2', '2', '-', '-']",2,2,2,0,0,1.2,770000
10,Levante UD,Radoja,MD,7,40,0,0,17,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,880000
10,Levante UD,Pepelu,MD,7,33,0,0,15,2.1,"['0', '-', '1', '-', '-']",0,0,1,0,0,0.2,550000
10,Levante UD,Vukcevic,MD,4,0,0,0,11,2.8,"['-', '4', '-', '2', '-']",0,4,0,2,0,1.2,310000
10,Levante UD,Edgar Sevikyan,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
10,Levante UD,Morales,DL,15,87,4,0,48,3.2,"['4', '1', '2', '2', '-2']",4,1,2,2,-2,1.4,7040000
10,Levante UD,Roger,DL,10,60,2,0,34,3.4,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,4840000
10,Levante UD,Dani Gómez,DL,11,20,0,1,22,2,"['2', '1', '3', '2', '-']",2,1,3,2,0,1.6,800000
10,Levante UD,Soldado,DL,7,33,0,0,16,2.3,"['-', '0', '2', '2', '2']",0,0,2,2,2,1.2,2350000
