Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
4,RCD Espanyol de Barcelona,Diego López,PT,15,100,13,0,102,6.8,"['8', '6', '11', '7', '11']",8,6,11,7,11,8.6,4350000
4,RCD Espanyol de Barcelona,Oier Olazábal,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,15,100,1,0,71,4.7,"['7', '4', '5', '1', '5']",7,4,5,1,5,4.4,4510000
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,14,93,1,0,66,4.7,"['5', '13', '7', '9', '4']",5,13,7,9,4,7.6,3860000
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,14,93,1,1,61,4.4,"['2', '2', '15', '2', '4']",2,2,15,2,4,5.0,3050000
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,11,60,2,0,44,4,"['-2', '0', '8', '4', '1']",-2,0,8,4,1,2.2,3100000
4,RCD Espanyol de Barcelona,Óscar Gil,DF,9,60,0,0,22,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,840000
4,RCD Espanyol de Barcelona,Dídac Vilà,DF,3,7,0,0,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,460000
4,RCD Espanyol de Barcelona,Calero,DF,1,7,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490000
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
4,RCD Espanyol de Barcelona,Miguelón,DF,1,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,330000
4,RCD Espanyol de Barcelona,Embarba,MD,15,100,0,2,62,4.1,"['3', '5', '2', '2', '1']",3,5,2,2,1,2.6,8020000
4,RCD Espanyol de Barcelona,Sergi Darder,MD,14,93,0,2,60,4.3,"['3', '2', '12', '2', '4']",3,2,12,2,4,4.6,3890000
4,RCD Espanyol de Barcelona,Morlanes,MD,13,33,1,0,51,3.9,"['5', '2', '5', '7', '2']",5,2,5,7,2,4.2,2170000
4,RCD Espanyol de Barcelona,David López,MD,10,40,0,0,33,3.3,"['-', '-', '4', '2', '-']",0,0,4,2,0,1.2,1530000
4,RCD Espanyol de Barcelona,Keidi Bare,MD,10,33,0,1,30,3,"['-', '2', '2', '-', '5']",0,2,2,0,5,1.8,1050000
4,RCD Espanyol de Barcelona,Melendo,MD,8,47,0,0,28,3.5,"['2', '3', '-', '-', '-']",2,3,0,0,0,1.0,1000000
4,RCD Espanyol de Barcelona,Yangel Herrera,MD,6,20,1,0,23,3.8,"['2', '2', '2', '1', '12']",2,2,2,1,12,3.8,3130000
4,RCD Espanyol de Barcelona,Fran Mérida,MD,4,13,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,450000
4,RCD Espanyol de Barcelona,Vadillo,MD,3,0,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
4,RCD Espanyol de Barcelona,Gori,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
4,RCD Espanyol de Barcelona,Raúl de Tomás,DL,14,93,7,2,94,6.7,"['5', '-', '6', '6', '5']",5,0,6,6,5,4.4,19810000
4,RCD Espanyol de Barcelona,Wu Lei,DL,12,20,0,0,25,2.1,"['-', '2', '3', '4', '2']",0,2,3,4,2,2.2,950000
4,RCD Espanyol de Barcelona,Dimata,DL,12,20,0,0,24,2,"['2', '2', '2', '1', '-']",2,2,2,1,0,1.4,1770000
