Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
11,RCD Mallorca,Reina,PT,16,94,19,0,67,4.2,"['0', '0', '5', '6', '11']",0,0,5,6,11,4.4,2650000
11,RCD Mallorca,Greif,PT,1,6,3,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
11,RCD Mallorca,Maffeo,DF,15,88,1,0,78,5.2,"['14', '4', '2', '2', '4']",14,4,2,2,4,5.2,4700000
11,RCD Mallorca,Martin Valjent,DF,17,100,0,0,62,3.6,"['2', '-1', '4', '2', '3']",2,-1,4,2,3,2.0,2300000
11,RCD Mallorca,Franco Russo,DF,12,71,1,0,55,4.6,"['-1', '4', '9', '13', '3']",-1,4,9,13,3,5.6,1860000
11,RCD Mallorca,Brian Oliván,DF,13,71,1,0,47,3.6,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,2040000
11,RCD Mallorca,Jaume Costa,DF,10,41,0,0,26,2.6,"['8', '-', '4', '7', '8']",8,0,4,7,8,5.4,1520000
11,RCD Mallorca,Joan Sastre,DF,7,12,0,0,5,0.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
11,RCD Mallorca,Josep Gayá,DF,1,6,0,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
11,RCD Mallorca,Idrissu Baba,MD,15,76,1,1,76,5.1,"['2', '-', '7', '3', '-']",2,0,7,3,0,2.4,5650000
11,RCD Mallorca,Ruiz de Galarreta,MD,15,65,0,0,56,3.7,"['1', '4', '6', '4', '6']",1,4,6,4,6,4.2,2070000
11,RCD Mallorca,Salva Sevilla,MD,9,35,1,2,53,5.9,"['11', '-', '-', '-', '-']",11,0,0,0,0,2.2,3190000
11,RCD Mallorca,Kang-In Lee,MD,13,65,1,2,40,3.1,"['3', '4', '4', '3', '-1']",3,4,4,3,-1,2.6,3210000
11,RCD Mallorca,Kubo,MD,9,29,1,0,33,3.7,"['-', '-', '2', '9', '2']",0,0,2,9,2,2.6,3980000
11,RCD Mallorca,Rodrigo Battaglia,MD,12,24,0,0,23,1.9,"['-', '4', '-', '2', '8']",0,4,0,2,8,2.8,750000
11,RCD Mallorca,Antonio Sánchez,MD,8,35,1,0,22,2.8,"['4', '2', '-', '1', '2']",4,2,0,1,2,1.8,760000
11,RCD Mallorca,Mboula,MD,10,29,0,0,19,1.9,"['4', '2', '2', '-', '-']",4,2,2,0,0,1.6,520000
11,RCD Mallorca,Aleix Febas,MD,4,6,0,0,10,2.5,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,340000
11,RCD Mallorca,Lago Júnior,MD,6,6,0,0,9,1.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,390000
11,RCD Mallorca,Sedlar,MD,7,6,0,0,8,1.1,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,340000
11,RCD Mallorca,Ángel Rodríguez,DL,12,41,2,2,52,4.3,"['-1', '6', '4', '7', '3']",-1,6,4,7,3,3.8,3420000
11,RCD Mallorca,Fernando Niño,DL,13,35,2,0,46,3.5,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,3410000
11,RCD Mallorca,Abdón Prats,DL,11,18,1,0,38,3.5,"['3', '10', '4', '2', '2']",3,10,4,2,2,4.2,910000
11,RCD Mallorca,Hoppe,DL,2,6,0,1,5,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,620000
