Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_12,J_13,J_14,J_15,J_16,Avg_last_5_games,Value
9,Rayo Vallecano de Madrid,Dimitrievski,PT,16,94,15,0,86,5.4,"['10', '3', '4', '4', '8']",10,3,4,4,8,5.8,3850000
9,Rayo Vallecano de Madrid,Iván Arboleda,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000
9,Rayo Vallecano de Madrid,Luca Zidane,PT,1,6,3,0,-10,-10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490000
9,Rayo Vallecano de Madrid,Catena,DF,16,100,0,1,74,4.6,"['6', '2', '4', '4', '6']",6,2,4,4,6,4.4,3730000
9,Rayo Vallecano de Madrid,Fran García,DF,16,100,0,0,66,4.1,"['8', '3', '4', '5', '5']",8,3,4,5,5,5.0,2700000
9,Rayo Vallecano de Madrid,Balliu,DF,15,94,0,1,48,3.2,"['5', '5', '2', '4', '4']",5,5,2,4,4,4.0,1680000
9,Rayo Vallecano de Madrid,Saveljich,DF,12,75,0,0,38,3.2,"['-', '2', '2', '2', '5']",0,2,2,2,5,2.2,1260000
9,Rayo Vallecano de Madrid,Mario Hernández,DF,2,13,1,0,12,6,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,330000
9,Rayo Vallecano de Madrid,Nikola Maras,DF,5,19,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,510000
9,Rayo Vallecano de Madrid,Kevin Rodrigues,DF,6,0,0,0,11,1.8,"['-', '-', '1', '-', '2']",0,0,1,0,2,0.6,430000
9,Rayo Vallecano de Madrid,Trejo,MD,14,81,3,7,93,6.6,"['2', '4', '14', '-', '2']",2,4,14,0,2,4.4,10190000
9,Rayo Vallecano de Madrid,Álvaro García,MD,16,94,5,1,93,5.8,"['4', '5', '10', '3', '7']",4,5,10,3,7,5.8,8840000
9,Rayo Vallecano de Madrid,Comesaña,MD,15,81,1,2,78,5.2,"['6', '4', '10', '4', '-']",6,4,10,4,0,4.8,5490000
9,Rayo Vallecano de Madrid,Isi Palazón,MD,16,75,2,0,66,4.1,"['5', '2', '5', '12', '5']",5,2,5,12,5,5.8,3380000
9,Rayo Vallecano de Madrid,Randy Nteka,MD,14,38,3,0,58,4.1,"['2', '3', '-', '-', '1']",2,3,0,0,1,1.2,5350000
9,Rayo Vallecano de Madrid,Pathé Ciss,MD,13,38,1,1,54,4.2,"['2', '-', '-', '-', '3']",2,0,0,0,3,1.0,3120000
9,Rayo Vallecano de Madrid,Óscar Valentín,MD,14,63,0,0,51,3.6,"['4', '6', '2', '4', '5']",4,6,2,4,5,4.2,1760000
9,Rayo Vallecano de Madrid,Bebé,MD,12,6,0,2,46,3.8,"['3', '7', '2', '-1', '-']",3,7,2,-1,0,2.2,2040000
9,Rayo Vallecano de Madrid,Unai López,MD,13,38,0,0,41,3.2,"['2', '5', '2', '2', '2']",2,5,2,2,2,2.6,1770000
9,Rayo Vallecano de Madrid,Merquelanz,MD,4,19,0,0,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1240000
9,Rayo Vallecano de Madrid,Pozo,MD,4,0,0,0,10,2.5,"['-', '2', '1', '7', '-']",0,2,1,7,0,2.0,450000
9,Rayo Vallecano de Madrid,Mario Suárez,MD,3,6,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,510000
9,Rayo Vallecano de Madrid,Falcao,DL,9,25,5,0,59,6.6,"['4', '10', '-', '-', '2']",4,10,0,0,2,3.2,10020000
9,Rayo Vallecano de Madrid,Sergi Guardiola,DL,11,31,2,2,38,3.5,"['2', '2', '8', '2', '2']",2,2,8,2,2,3.2,2720000
9,Rayo Vallecano de Madrid,Andrés Martín,DL,5,6,0,0,6,1.2,"['-', '-', '2', '1', '-']",0,0,2,1,0,0.6,310000
9,Rayo Vallecano de Madrid,Yacine Qasmi,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,730000
9,Rayo Vallecano de Madrid,Sergio Moreno,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
