Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
9,Rayo Vallecano de Madrid,Dimitrievski,PT,18,94,0,0,101,5.6,"['4', '8', '4', '11', '-']",4,8,4,11,0,5.4,3850000
9,Rayo Vallecano de Madrid,Iván Arboleda,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000
9,Rayo Vallecano de Madrid,Luca Zidane,PT,1,6,0,0,-10,-10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
9,Rayo Vallecano de Madrid,Catena,DF,18,100,1,1,88,4.9,"['4', '6', '2', '12', '-']",4,6,2,12,0,4.8,3300000
9,Rayo Vallecano de Madrid,Álvaro García,MD,18,94,5,2,106,5.9,"['3', '7', '6', '7', '-']",3,7,6,7,0,4.6,8820000
9,Rayo Vallecano de Madrid,Balliu,DF,17,94,0,1,58,3.4,"['4', '4', '5', '5', '-']",4,4,5,5,0,3.6,1600000
9,Rayo Vallecano de Madrid,Saveljich,DF,14,78,0,0,45,3.2,"['2', '5', '2', '5', '-']",2,5,2,5,0,2.8,1550000
9,Rayo Vallecano de Madrid,Mario Hernández,DF,2,11,1,0,12,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
9,Rayo Vallecano de Madrid,Nikola Maras,DF,5,17,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
9,Rayo Vallecano de Madrid,Kevin Rodrigues,DF,6,0,0,0,11,1.8,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,400000
9,Rayo Vallecano de Madrid,Trejo,MD,16,83,3,8,101,6.3,"['-', '2', '3', '5', '-']",0,2,3,5,0,2.0,9730000
9,Rayo Vallecano de Madrid,Comesaña,MD,17,83,1,2,84,4.9,"['4', '-', '-1', '7', '-']",4,0,-1,7,0,2.0,5610000
9,Rayo Vallecano de Madrid,Óscar Valentín,MD,16,67,0,0,63,3.9,"['4', '5', '7', '5', '-']",4,5,7,5,0,4.2,2580000
9,Rayo Vallecano de Madrid,Bebé,MD,14,6,0,2,55,3.9,"['-1', '-', '4', '5', '-']",-1,0,4,5,0,1.6,2220000
9,Rayo Vallecano de Madrid,Pathé Ciss,MD,14,33,1,1,54,3.9,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,2640000
9,Rayo Vallecano de Madrid,Unai López,MD,15,33,0,0,47,3.1,"['2', '2', '5', '1', '-']",2,2,5,1,0,2.0,1710000
9,Rayo Vallecano de Madrid,Merquelanz,MD,4,17,0,0,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1070000
9,Rayo Vallecano de Madrid,Pozo,MD,5,0,0,0,12,2.4,"['7', '-', '2', '-', '-']",7,0,2,0,0,1.8,420000
9,Rayo Vallecano de Madrid,Mario Suárez,MD,3,6,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,480000
9,Rayo Vallecano de Madrid,Randy Nteka,DL,16,33,3,0,62,3.9,"['-', '1', '2', '2', '-']",0,1,2,2,0,1.0,4000000
9,Rayo Vallecano de Madrid,Falcao,DL,10,22,5,0,59,5.9,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,9980000
9,Rayo Vallecano de Madrid,Sergi Guardiola,DL,13,39,3,2,51,3.9,"['2', '2', '3', '10', '-']",2,2,3,10,0,3.4,3540000
9,Rayo Vallecano de Madrid,Andrés Martín,DL,6,6,0,0,8,1.3,"['1', '-', '2', '-', '-']",1,0,2,0,0,0.6,280000
9,Rayo Vallecano de Madrid,Yacine Qasmi,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,610000
9,Rayo Vallecano de Madrid,Sergio Moreno,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
