Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
2,Real Betis Balompié,Rui Silva,PT,0,59,0,0,48,4.8,"['-', '10', '2', '8', '11']",0,10,2,8,11,6.2,1890000
2,Real Betis Balompié,Claudio Bravo,PT,7,41,9,0,23,3.3,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0,1290000
2,Real Betis Balompié,Joel Robles,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
2,Real Betis Balompié,Álex Moreno,DF,0,76,0,0,84,6,"['1', '7', '5', '8', '23']",1,7,5,8,23,8.8,4570000
2,Real Betis Balompié,Víctor Ruiz,DF,0,59,0,0,41,4.1,"['-', '5', '3', '5', '6']",0,5,3,5,6,3.8,2070000
2,Real Betis Balompié,Héctor Bellerín,DF,10,59,0,1,35,3.5,"['-1', '-6', '-', '5', '8']",-1,-6,0,5,8,1.2,3610000
2,Real Betis Balompié,Marc Bartra,DF,6,35,0,0,31,5.2,"['-', '-', '5', '6', '4']",0,0,5,6,4,3.0,2370000
2,Real Betis Balompié,Pezzella,DF,9,47,1,0,29,3.2,"['3', '5', '-', '-', '-']",3,5,0,0,0,1.6,1370000
2,Real Betis Balompié,Martín Montoya,DF,6,35,0,1,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1590000
2,Real Betis Balompié,Juan Miranda,DF,0,24,0,0,20,4,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,800000
2,Real Betis Balompié,Kike Hermoso,DF,1,6,1,0,13,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
2,Real Betis Balompié,Sabaly,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,730000
2,Real Betis Balompié,Fekir,MD,0,88,0,0,100,6.7,"['4', '12', '7', '-', '12']",4,12,7,0,12,7.0,11480000
2,Real Betis Balompié,Yassin Fekir,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
2,Real Betis Balompié,Canales,MD,16,88,1,3,78,4.9,"['2', '2', '7', '2', '8']",2,2,7,2,8,4.2,10940000
2,Real Betis Balompié,William Carvalho,MD,15,41,0,1,62,4.1,"['4', '2', '2', '2', '2']",4,2,2,2,2,2.4,3110000
2,Real Betis Balompié,Guido Rodríguez,MD,0,71,0,0,58,4.1,"['-5', '-', '8', '4', '4']",-5,0,8,4,4,2.2,5290000
2,Real Betis Balompié,Édgar González,MD,12,53,0,1,48,4,"['2', '4', '3', '-', '-']",2,4,3,0,0,1.8,2330000
2,Real Betis Balompié,Rodrigo Sánchez,MD,11,47,1,1,42,3.8,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,2960000
2,Real Betis Balompié,Guardado,MD,15,53,0,0,39,2.6,"['2', '2', '3', '4', '2']",2,2,3,4,2,2.6,1320000
2,Real Betis Balompié,Tello,MD,11,6,0,1,29,2.6,"['3', '2', '-', '6', '4']",3,2,0,6,4,3.0,1470000
2,Real Betis Balompié,Joaquín,MD,8,0,0,1,23,2.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,970000
2,Real Betis Balompié,Aitor Ruibal,MD,10,35,0,0,20,2,"['-', '2', '6', '1', '-']",0,2,6,1,0,1.8,1020000
2,Real Betis Balompié,Camarasa,MD,5,0,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,480000
2,Real Betis Balompié,Rober González,MD,4,6,0,0,12,3,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,370000
2,Real Betis Balompié,Paul Akouokou,MD,3,12,0,0,11,3.7,"['-', '4', '-', '-', '2']",0,4,0,0,2,1.2,380000
2,Real Betis Balompié,Diego Lainez,MD,2,0,0,0,2,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,720000
2,Real Betis Balompié,Juanmi Jiménez,DL,0,65,0,0,114,7.6,"['2', '11', '21', '11', '9']",2,11,21,11,9,10.8,9820000
2,Real Betis Balompié,Willian José,DL,14,65,5,4,84,6,"['2', '9', '10', '3', '10']",2,9,10,3,10,6.8,10720000
2,Real Betis Balompié,Borja Iglesias,DL,13,29,3,0,51,3.9,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,5000000
