Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
2,Real Betis Balompié,Rui Silva,PT,11,61,0,0,49,4.5,"['2', '8', '11', '1', '-']",2,8,11,1,0,4.4,2060000
2,Real Betis Balompié,Claudio Bravo,PT,7,39,0,0,23,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1080000
2,Real Betis Balompié,Joel Robles,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
2,Real Betis Balompié,Álex Moreno,DF,15,78,3,2,84,5.6,"['5', '8', '23', '0', '-']",5,8,23,0,0,7.2,5790000
2,Real Betis Balompié,Édgar González,DF,13,50,0,1,49,3.8,"['3', '-', '-', '1', '-']",3,0,0,1,0,0.8,2050000
2,Real Betis Balompié,Víctor Ruiz,DF,11,61,0,0,45,4.1,"['3', '5', '6', '4', '-']",3,5,6,4,0,3.6,2550000
2,Real Betis Balompié,Héctor Bellerín,DF,11,61,0,1,37,3.4,"['-', '5', '8', '2', '-']",0,5,8,2,0,3.0,3750000
2,Real Betis Balompié,Marc Bartra,DF,7,39,0,0,33,4.7,"['5', '6', '4', '2', '-']",5,6,4,2,0,3.4,2470000
2,Real Betis Balompié,Pezzella,DF,9,44,1,0,29,3.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1250000
2,Real Betis Balompié,Martín Montoya,DF,6,33,0,1,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1430000
2,Real Betis Balompié,Juan Miranda,DF,6,22,0,0,22,3.7,"['-', '-', '3', '2', '-']",0,0,3,2,0,1.0,750000
2,Real Betis Balompié,Kike Hermoso,DF,1,6,1,0,13,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,400000
2,Real Betis Balompié,Aitor Ruibal,MD,10,33,0,0,20,2,"['6', '1', '-', '-', '-']",6,1,0,0,0,1.4,920000
2,Real Betis Balompié,Fekir,MD,16,89,4,3,110,6.9,"['7', '-', '12', '10', '-']",7,0,12,10,0,5.8,11770000
2,Real Betis Balompié,Canales,MD,17,89,1,3,87,5.1,"['7', '2', '8', '9', '-']",7,2,8,9,0,5.2,11490000
2,Real Betis Balompié,William Carvalho,MD,16,44,0,2,68,4.3,"['2', '2', '2', '6', '-']",2,2,2,6,0,2.4,2870000
2,Real Betis Balompié,Guido Rodríguez,MD,15,72,0,2,61,4.1,"['8', '4', '4', '3', '-']",8,4,4,3,0,3.8,4550000
2,Real Betis Balompié,Rodrigo Sánchez,MD,12,44,1,1,44,3.7,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,2640000
2,Real Betis Balompié,Guardado,MD,15,50,0,0,39,2.6,"['3', '4', '2', '-', '-']",3,4,2,0,0,1.8,1200000
2,Real Betis Balompié,Tello,MD,11,6,0,1,29,2.6,"['-', '6', '4', '-', '-']",0,6,4,0,0,2.0,1330000
2,Real Betis Balompié,Joaquín,MD,9,0,0,1,25,2.8,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,930000
2,Real Betis Balompié,Camarasa,MD,5,0,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470000
2,Real Betis Balompié,Rober González,MD,4,6,0,0,12,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
2,Real Betis Balompié,Paul Akouokou,MD,3,11,0,0,11,3.7,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,350000
2,Real Betis Balompié,Diego Lainez,MD,2,0,0,0,2,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,680000
2,Real Betis Balompié,Yassin Fekir,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
2,Real Betis Balompié,Juanmi Jiménez,DL,16,67,11,1,123,7.7,"['21', '11', '9', '9', '-']",21,11,9,9,0,10.0,11790000
2,Real Betis Balompié,Willian José,DL,15,67,6,4,86,5.7,"['10', '3', '10', '2', '-']",10,3,10,2,0,5.0,10470000
2,Real Betis Balompié,Borja Iglesias,DL,14,28,3,0,53,3.8,"['-', '1', '-', '2', '-']",0,1,0,2,0,0.6,4250000
