Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
8,Real Madrid CF,Courtois,PT,14,100,15,0,59,4.2,"['5', '4', '7', '3', '5']",5,4,7,3,5,4.8,6310000
8,Real Madrid CF,Lunin,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,390000
8,Real Madrid CF,Alaba,DF,13,93,1,3,81,6.2,"['6', '5', '6', '3', '8']",6,5,6,3,8,5.6,9330000
8,Real Madrid CF,Éder Militão,DF,13,93,0,1,69,5.3,"['7', '8', '6', '-', '9']",7,8,6,0,9,6.0,6980000
8,Real Madrid CF,Nacho Fernández,DF,10,57,2,0,49,4.9,"['-', '-', '-', '15', '-']",0,0,0,15,0,3.0,3220000
8,Real Madrid CF,Carvajal,DF,10,50,1,0,45,4.5,"['6', '2', '7', '6', '1']",6,2,7,6,1,4.4,6400000
8,Real Madrid CF,Ferland Mendy,DF,6,36,1,0,37,6.2,"['6', '3', '4', '15', '4']",6,3,4,15,4,6.4,5580000
8,Real Madrid CF,Miguel Gutiérrez,DF,3,21,0,1,18,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1210000
8,Real Madrid CF,Marcelo,DF,3,7,0,0,7,2.3,"['2', '5', '-', '-', '-']",2,5,0,0,0,1.4,900000
8,Real Madrid CF,Sergio Santos,DF,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
8,Real Madrid CF,Jesús Vallejo,DF,1,0,0,0,2,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,370000
8,Real Madrid CF,Casemiro,MD,13,86,0,2,77,5.9,"['8', '4', '5', '11', '5']",8,4,5,11,5,6.6,11120000
8,Real Madrid CF,Kroos,MD,7,50,1,2,63,9,"['10', '9', '15', '13', '7']",10,9,15,13,7,10.8,16190000
8,Real Madrid CF,Modric,MD,9,64,0,3,43,4.8,"['-', '11', '-', '6', '1']",0,11,0,6,1,3.6,10760000
8,Real Madrid CF,Camavinga,MD,10,29,1,0,40,4,"['4', '3', '5', '2', '3']",4,3,5,2,3,3.4,7300000
8,Real Madrid CF,Lucas Vázquez,MD,11,36,1,0,37,3.4,"['2', '4', '2', '-', '-']",2,4,2,0,0,1.6,4110000
8,Real Madrid CF,Isco,MD,7,14,1,0,30,4.3,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,1830000
8,Real Madrid CF,Antonio Blanco,MD,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,460000
8,Real Madrid CF,Dani Ceballos,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,800000
8,Real Madrid CF,Benzema,DL,13,93,11,7,145,11.2,"['7', '-', '10', '7', '10']",7,0,10,7,10,6.8,26860000
8,Real Madrid CF,Vinícius Júnior,DL,14,86,9,2,115,8.2,"['4', '16', '2', '12', '9']",4,16,2,12,9,8.6,16910000
8,Real Madrid CF,Asensio,DL,12,43,4,0,59,4.9,"['2', '4', '6', '10', '3']",2,4,6,10,3,5.0,6360000
8,Real Madrid CF,Eden Hazard,DL,10,29,0,1,42,4.2,"['3', '2', '2', '-', '-']",3,2,2,0,0,1.4,6620000
8,Real Madrid CF,Rodrygo,DL,12,29,0,1,30,2.5,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,3200000
8,Real Madrid CF,Bale,DL,3,21,1,0,15,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4660000
8,Real Madrid CF,Jovic,DL,6,0,0,1,14,2.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,910000
8,Real Madrid CF,Mariano Díaz,DL,1,7,0,1,8,8,"['-', '8', '-', '-', '-']",0,8,0,0,0,1.6,660000
