Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
8,Real Madrid CF,Courtois,PT,19,100,0,0,91,4.8,"['5', '5', '12', '5', '2']",5,5,12,5,2,5.8,6620000
8,Real Madrid CF,Lunin,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
8,Real Madrid CF,Éder Militão,DF,18,95,0,1,107,5.9,"['9', '10', '6', '7', '6']",9,10,6,7,6,7.6,7850000
8,Real Madrid CF,Alaba,DF,17,89,1,3,101,5.9,"['8', '5', '4', '6', '-']",8,5,4,6,0,4.6,9490000
8,Real Madrid CF,Nacho Fernández,DF,14,47,2,0,67,4.8,"['-', '-', '4', '2', '7']",0,0,4,2,7,2.6,2790000
8,Real Madrid CF,Ferland Mendy,DF,11,53,1,0,60,5.5,"['4', '4', '4', '4', '5']",4,4,4,4,5,4.2,6390000
8,Real Madrid CF,Lucas Vázquez,DF,14,42,1,0,57,4.1,"['-', '-', '-', '10', '5']",0,0,0,10,5,3.0,3040000
8,Real Madrid CF,Carvajal,DF,12,47,1,0,55,4.6,"['1', '8', '2', '-', '-']",1,8,2,0,0,2.2,5870000
8,Real Madrid CF,Miguel Gutiérrez,DF,3,16,0,1,18,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,900000
8,Real Madrid CF,Marcelo,DF,3,5,0,0,7,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,760000
8,Real Madrid CF,Sergio Santos,DF,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,380000
8,Real Madrid CF,Jesús Vallejo,DF,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,400000
8,Real Madrid CF,Casemiro,MD,17,84,0,3,108,6.4,"['5', '9', '8', '9', '-']",5,9,8,9,0,6.2,12660000
8,Real Madrid CF,Kroos,MD,12,63,1,3,102,8.5,"['7', '5', '6', '11', '10']",7,5,6,11,10,7.8,17120000
8,Real Madrid CF,Camavinga,MD,13,26,1,0,56,4.3,"['3', '2', '-', '-', '10']",3,2,0,0,10,3.0,5460000
8,Real Madrid CF,Isco,MD,7,11,1,0,30,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1500000
8,Real Madrid CF,Antonio Blanco,MD,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490000
8,Real Madrid CF,Dani Ceballos,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1320000
8,Real Madrid CF,Benzema,DL,18,95,15,7,190,10.6,"['10', '2', '9', '7', '17']",10,2,9,7,17,9.0,23920000
8,Real Madrid CF,Vinícius Júnior,DL,19,89,10,4,153,8.1,"['9', '13', '10', '4', '3']",9,13,10,4,3,7.8,19720000
8,Real Madrid CF,Asensio,DL,15,42,5,0,77,5.1,"['3', '4', '9', '-', '-']",3,4,9,0,0,3.2,8060000
8,Real Madrid CF,Eden Hazard,DL,12,32,0,1,51,4.3,"['-', '-', '-', '2', '7']",0,0,0,2,7,1.8,5800000
8,Real Madrid CF,Rodrygo,DL,15,26,0,1,34,2.3,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,3460000
8,Real Madrid CF,Bale,DL,3,16,1,0,15,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4160000
8,Real Madrid CF,Mariano Díaz,DL,2,5,0,1,13,6.5,"['-', '-', '-', '-', '5']",0,0,0,0,5,1.0,590000
8,Real Madrid CF,Peter González,DL,1,0,0,0,0,0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,440000
