Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
20,Sevilla FC,Bono,PT,14,88,8,1,79,5.6,"['6', '1', '-1', '7', '8']",6,1,-1,7,8,4.2,5120000
20,Sevilla FC,Dmitrovic,PT,2,13,3,0,9,4.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,800000
20,Sevilla FC,Diego Carlos,DF,15,94,2,0,87,5.8,"['6', '3', '1', '8', '6']",6,3,1,8,6,4.8,6900000
20,Sevilla FC,Marcos Acuña,DF,14,69,1,3,78,5.6,"['16', '5', '7', '5', '-']",16,5,7,5,0,6.6,4670000
20,Sevilla FC,Jesús Navas,DF,11,50,0,2,65,5.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,6380000
20,Sevilla FC,Gonzalo Montiel,DF,8,50,1,2,49,6.1,"['10', '7', '2', '6', '6']",10,7,2,6,6,6.2,4070000
20,Sevilla FC,Augustinsson,DF,7,25,0,1,30,4.3,"['-', '4', '-', '5', '5']",0,4,0,5,5,2.8,1100000
20,Sevilla FC,Rekik,DF,8,25,0,1,27,3.4,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,910000
20,Sevilla FC,Joan Jordan,MD,16,81,0,1,70,4.4,"['7', '3', '4', '3', '3']",7,3,4,3,3,4.0,7410000
20,Sevilla FC,Fernando Reges,MD,16,88,1,1,69,4.3,"['6', '1', '2', '6', '2']",6,1,2,6,2,3.4,6240000
20,Sevilla FC,Rakitic,MD,0,56,0,0,58,4.5,"['6', '12', '4', '4', '-']",6,12,4,4,0,5.2,4590000
20,Sevilla FC,Delaney,MD,12,31,1,1,42,3.5,"['2', '-', '1', '6', '11']",2,0,1,6,11,4.0,2110000
20,Sevilla FC,Papu Gómez,MD,11,38,1,0,35,3.2,"['1', '4', '5', '2', '4']",1,4,5,2,4,3.2,3050000
20,Sevilla FC,Óscar Rodríguez,MD,9,25,0,0,30,3.3,"['-', '-', '2', '-', '1']",0,0,2,0,1,0.6,1690000
20,Sevilla FC,Óliver Torres,MD,8,31,1,1,26,3.3,"['1', '3', '2', '1', '2']",1,3,2,1,2,1.8,1520000
20,Sevilla FC,Gudelj,MD,5,6,0,0,12,2.4,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,440000
20,Sevilla FC,Pedro Ortiz,MD,1,0,0,0,5,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000
20,Sevilla FC,Erik Lamela,DL,0,31,0,0,69,5.8,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,8260000
20,Sevilla FC,Rafa Mir,DL,15,69,5,0,67,4.5,"['2', '6', '5', '2', '2']",2,6,5,2,2,3.4,11880000
20,Sevilla FC,Ocampos,DL,12,50,3,1,57,4.8,"['3', '9', '4', '11', '-']",3,9,4,11,0,5.4,11510000
20,Sevilla FC,En-Nesyri,DL,7,31,3,1,40,5.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,7000000
20,Sevilla FC,Suso,DL,8,38,0,1,27,3.4,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,3200000
20,Sevilla FC,Munir El Haddadi,DL,8,13,1,0,25,3.1,"['3', '5', '-', '2', '2']",3,5,0,2,2,2.4,1410000
20,Sevilla FC,Idrissi,DL,5,13,0,0,17,3.4,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,720000
