Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
15,Valencia CF,Cillessen,PT,9,60,13,0,33,3.7,"['2', '6', '1', '7', '4']",2,6,1,7,4,4.0,2770000
15,Valencia CF,Mamardashvili,PT,6,40,7,0,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1890000
15,Valencia CF,Jaume Doménech,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
15,Valencia CF,Cristian Rivero,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
15,Valencia CF,Daniel Wass,DF,15,100,1,1,62,4.1,"['-2', '4', '1', '3', '2']",-2,4,1,3,2,1.6,6150000
15,Valencia CF,Gabriel Paulista,DF,12,80,1,1,58,4.8,"['9', '3', '-', '-', '-']",9,3,0,0,0,2.4,3990000
15,Valencia CF,Gayà,DF,11,73,2,1,57,5.2,"['0', '5', '7', '5', '2']",0,5,7,5,2,3.8,6060000
15,Valencia CF,Omar Alderete,DF,14,87,1,0,56,4,"['-1', '4', '4', '4', '6']",-1,4,4,4,6,3.4,3540000
15,Valencia CF,Foulquier,DF,14,87,0,1,45,3.2,"['1', '11', '2', '5', '2']",1,11,2,5,2,4.2,1930000
15,Valencia CF,Diakhaby,DF,13,33,0,0,32,2.5,"['1', '11', '5', '-', '5']",1,11,5,0,5,4.4,1360000
15,Valencia CF,Guillamón,DF,12,80,1,0,32,2.7,"['3', '4', '1', '4', '4']",3,4,1,4,4,3.2,2140000
15,Valencia CF,Thierry Correia,DF,6,33,0,0,27,4.5,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,2780000
15,Valencia CF,Lato,DF,4,20,0,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,520000
15,Valencia CF,Jesús Vázquez,DF,3,7,0,0,4,2,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,310000
15,Valencia CF,Piccini,DF,1,0,0,0,2,2,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,380000
15,Valencia CF,Carlos Soler,MD,11,60,5,2,70,6.4,"['-', '8', '2', '5', '9']",0,8,2,5,9,4.8,12640000
15,Valencia CF,Racic,MD,10,33,0,0,29,2.9,"['2', '5', '2', '3', '-']",2,5,2,3,0,2.4,1300000
15,Valencia CF,Yunus Musah,MD,11,13,0,0,23,2.1,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,900000
15,Valencia CF,Denis Cheryshev,MD,6,27,0,1,23,3.8,"['1', '-', '2', '1', '1']",1,0,2,1,1,1.0,1600000
15,Valencia CF,Hélder Costa,MD,9,33,0,0,20,2.2,"['2', '0', '2', '2', '5']",2,0,2,2,5,2.2,1300000
15,Valencia CF,Jason,MD,5,7,0,0,13,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490000
15,Valencia CF,Koba,MD,4,0,0,0,10,2.5,"['-', '-', '2', '2', '2']",0,0,2,2,2,1.2,360000
15,Valencia CF,Álex Blanco,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
15,Valencia CF,Guedes,DL,15,100,3,3,91,6.1,"['0', '1', '11', '2', '3']",0,1,11,2,3,3.4,13500000
15,Valencia CF,Hugo Duro,DL,13,60,4,0,57,4.4,"['3', '2', '17', '2', '2']",3,2,17,2,2,5.2,3760000
15,Valencia CF,Maxi Gómez,DL,11,60,1,1,42,3.8,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2,7100000
15,Valencia CF,Manu Vallejo,DL,8,0,0,0,19,2.4,"['3', '-', '2', '-', '-']",3,0,2,0,0,1.0,800000
