Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_12,J_13,J_14,J_15,Avg_last_5_games,Value
14,Villarreal CF,Rulli,PT,12,86,11,0,66,5.5,"['-', '0', '8', '0', '0']",0,0,8,0,0,1.6,4580000
14,Villarreal CF,Sergio Asenjo,PT,2,14,4,0,2,1,"['-1', '-', '-', '-', '-']",-1,0,0,0,0,-0.2,1350000
14,Villarreal CF,Pau Torres,DF,11,79,1,0,60,5.5,"['10', '5', '8', '5', '3']",10,5,8,5,3,6.2,6270000
14,Villarreal CF,Albiol,DF,10,71,0,0,54,5.4,"['-', '6', '7', '4', '3']",0,6,7,4,3,4.0,5140000
14,Villarreal CF,Alberto Moreno,DF,12,43,2,0,54,4.5,"['-', '1', '-', '13', '-']",0,1,0,13,0,2.8,2500000
14,Villarreal CF,Juan Foyth,DF,10,71,0,0,46,4.6,"['-', '-', '-', '6', '-1']",0,0,0,6,-1,1.0,4160000
14,Villarreal CF,Estupiñán,DF,11,43,0,0,37,3.4,"['4', '6', '6', '-', '-4']",4,6,6,0,-4,2.4,1990000
14,Villarreal CF,Aïssa Mandi,DF,7,50,0,0,26,3.7,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,1720000
14,Villarreal CF,Alfonso Pedraza,DF,8,43,0,1,24,3,"['1', '-', '-', '5', '0']",1,0,0,5,0,1.2,1460000
14,Villarreal CF,Aurier,DF,5,14,0,1,17,3.4,"['6', '2', '5', '2', '-']",6,2,5,2,0,3.0,2470000
14,Villarreal CF,Rubén Peña,DF,6,7,0,0,14,2.3,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,560000
14,Villarreal CF,Mario Gaspar,DF,4,14,0,0,9,2.3,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,800000
14,Villarreal CF,Parejo,MD,11,71,0,2,73,6.6,"['11', '7', '8', '10', '7']",11,7,8,10,7,8.6,14650000
14,Villarreal CF,Danjuma,MD,12,71,5,2,72,6,"['11', '1', '2', '-', '3']",11,1,2,0,3,3.4,13830000
14,Villarreal CF,Coquelin,MD,13,43,1,1,64,4.9,"['5', '5', '4', '4', '-']",5,5,4,4,0,3.6,4370000
14,Villarreal CF,Yéremi Pino,MD,13,71,1,4,56,4.3,"['5', '2', '2', '3', '1']",5,2,2,3,1,2.6,6710000
14,Villarreal CF,Capoue,MD,12,86,0,0,56,4.7,"['-', '4', '9', '-', '3']",0,4,9,0,3,3.2,4490000
14,Villarreal CF,Trigueros,MD,13,79,3,0,55,4.2,"['2', '1', '8', '1', '5']",2,1,8,1,5,3.4,5690000
14,Villarreal CF,Moi Gómez,MD,11,29,0,1,35,3.2,"['-', '4', '1', '2', '3']",0,4,1,2,3,2.0,2480000
14,Villarreal CF,Samu Chukwueze,MD,7,0,1,0,27,3.9,"['5', '2', '5', '1', '9']",5,2,5,1,9,4.4,2940000
14,Villarreal CF,Raba,MD,4,0,0,0,13,3.3,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,710000
14,Villarreal CF,Iborra,MD,3,14,0,0,3,1,"['2', '-', '-', '1', '-']",2,0,0,1,0,0.6,930000
14,Villarreal CF,Boulaye Dia,DL,10,36,1,2,44,4.4,"['14', '3', '3', '2', '-']",14,3,3,2,0,4.4,5920000
14,Villarreal CF,Gerard Moreno,DL,5,36,1,0,26,5.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,13780000
14,Villarreal CF,Alcácer,DL,7,29,0,2,24,3.4,"['1', '2', '7', '-', '-']",1,2,7,0,0,2.0,3460000
