Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,15,88,11,0,79,5.3,"['6', '8', '0', '10', '1']",6,8,0,10,1,5.0,4500000
1,Athletic Club,Agirrezabala,PT,2,12,1,0,10,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,400000
1,Athletic Club,Ezkieta,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
1,Athletic Club,Iñigo Martínez,DF,14,82,2,0,78,5.6,"['-', '7', '-3', '8', '6']",0,7,-3,8,6,3.6,7030000
1,Athletic Club,Lekue,DF,0,94,0,0,70,4.1,"['5', '5', '3', '8', '1']",5,5,3,8,1,4.4,2890000
1,Athletic Club,Balenziaga,DF,0,76,0,0,49,3.8,"['2', '6', '0', '-', '5']",2,6,0,0,5,2.6,1960000
1,Athletic Club,Yeray Álvarez,DF,8,47,0,0,42,5.3,"['4', '8', '5', '5', '4']",4,8,5,5,4,5.2,3600000
1,Athletic Club,De Marcos,DF,7,29,0,0,29,4.1,"['-', '-', '-', '5', '-']",0,0,0,5,0,1.0,1210000
1,Athletic Club,Unai Núñez,DF,5,18,0,0,17,3.4,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,720000
1,Athletic Club,Álex Petxarroman,DF,4,0,0,0,9,2.3,"['-', '-', '2', '2', '4']",0,0,2,2,4,1.6,420000
1,Athletic Club,Yuri Berchiche,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1750000
1,Athletic Club,Capa,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,980000
1,Athletic Club,Nolaskoain,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000
1,Athletic Club,Muniain,MD,0,94,0,0,108,6.8,"['6', '4', '9', '-', '0']",6,4,9,0,0,3.8,10280000
1,Athletic Club,Unai Vencedor,MD,16,88,0,0,60,3.8,"['-', '5', '4', '4', '5']",0,5,4,4,5,3.6,3210000
1,Athletic Club,Dani García,MD,0,88,0,0,44,2.6,"['2', '2', '1', '5', '4']",2,2,1,5,4,2.8,1560000
1,Athletic Club,Nico Williams,MD,17,29,0,0,42,2.5,"['1', '5', '2', '5', '2']",1,5,2,5,2,3.0,2840000
1,Athletic Club,Sancet,MD,13,35,0,1,42,3.2,"['4', '2', '0', '4', '2']",4,2,0,4,2,2.4,2420000
1,Athletic Club,Álex Berenguer,MD,16,65,0,1,40,2.5,"['-1', '2', '-', '2', '2']",-1,2,0,2,2,1.0,4810000
1,Athletic Club,Zarraga,MD,13,18,0,0,31,2.4,"['-', '2', '3', '3', '2']",0,2,3,3,2,2.0,930000
1,Athletic Club,Mikel Vesga,MD,13,18,0,0,25,1.9,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,790000
1,Athletic Club,Jon Morcillo,MD,6,0,0,0,8,1.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,480000
1,Athletic Club,Williams,DL,17,88,3,1,81,4.8,"['3', '2', '2', '4', '4']",3,2,2,4,4,3.0,9020000
1,Athletic Club,Raúl García,DL,16,71,3,0,71,4.4,"['4', '2', '11', '4', '2']",4,2,11,4,2,4.6,5820000
1,Athletic Club,Villalibre,DL,7,6,0,0,16,2.3,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,1110000
2,Club Atlético de Madrid,Oblak,PT,0,100,0,0,49,3.1,"['2', '9', '1', '1', '0']",2,9,1,1,0,2.6,5370000
2,Club Atlético de Madrid,Lecomte,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
2,Club Atlético de Madrid,Savic,DF,0,81,0,0,58,4.5,"['4', '7', '7', '2', '-']",4,7,7,2,0,4.0,4250000
2,Club Atlético de Madrid,José Giménez,DF,10,63,0,0,53,5.3,"['2', '-', '3', '-', '-']",2,0,3,0,0,1.0,4470000
2,Club Atlético de Madrid,Mario Hermoso,DF,0,81,0,0,47,3.1,"['2', '6', '2', '2', '2']",2,6,2,2,2,2.8,3310000
2,Club Atlético de Madrid,Trippier,DF,0,56,0,0,39,3.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,3810000
2,Club Atlético de Madrid,Felipe,DF,0,44,0,0,39,4.3,"['-', '15', '2', '5', '1']",0,15,2,5,1,4.6,2500000
2,Club Atlético de Madrid,Renan Lodi,DF,0,25,0,0,31,2.4,"['-', '-', '-', '6', '3']",0,0,0,6,3,1.8,1920000
2,Club Atlético de Madrid,Vrsaljko,DF,6,6,1,1,28,4.7,"['12', '6', '-', '1', '-']",12,6,0,1,0,3.8,1320000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,0,63,0,0,80,5.3,"['4', '2', '8', '5', '6']",4,2,8,5,6,5.0,8580000
2,Club Atlético de Madrid,Lemar,MD,10,44,3,2,59,5.9,"['-', '3', '14', '2', '4']",0,3,14,2,4,4.6,6830000
2,Club Atlético de Madrid,Kondogbia,MD,11,38,0,0,52,4.7,"['-', '5', '7', '4', '4']",0,5,7,4,4,4.0,3450000
2,Club Atlético de Madrid,Marcos Llorente,MD,0,75,0,0,52,4.3,"['1', '4', '-', '6', '4']",1,4,0,6,4,3.0,9940000
2,Club Atlético de Madrid,Koke,MD,0,81,0,0,51,3.9,"['1', '6', '3', '8', '4']",1,6,3,8,4,4.4,6140000
2,Club Atlético de Madrid,Héctor Herrera,MD,0,13,0,0,34,4.3,"['1', '-', '-', '-', '5']",1,0,0,0,5,1.2,900000
2,Club Atlético de Madrid,Carlos Martín,MD,1,0,0,0,3,3,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,340000
2,Club Atlético de Madrid,Correa,DL,0,69,0,0,86,5.4,"['7', '3', '10', '6', '2']",7,3,10,6,2,5.6,10270000
2,Club Atlético de Madrid,Luis Suárez,DL,16,63,7,1,85,5.3,"['10', '2', '1', '2', '2']",10,2,1,2,2,3.4,15670000
2,Club Atlético de Madrid,Griezmann,DL,16,94,3,1,84,5.3,"['7', '3', '15', '5', '3']",7,3,15,5,3,6.6,15100000
2,Club Atlético de Madrid,Matheus Cunha,DL,12,13,3,1,59,4.9,"['-', '4', '14', '11', '2']",0,4,14,11,2,6.2,6240000
2,Club Atlético de Madrid,João Félix,DL,9,19,1,1,38,4.2,"['2', '-', '-', '2', '4']",2,0,0,2,4,1.6,8870000
2,Club Atlético de Madrid,Saponjic,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
3,CA Osasuna,Sergio Herrera,PT,0,94,0,0,69,4.3,"['1', '1', '3', '9', '0']",1,1,3,9,0,2.8,4220000
3,CA Osasuna,Juan Pérez,PT,1,6,2,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
3,CA Osasuna,David García Zub.,DF,17,100,3,0,101,5.9,"['6', '6', '4', '7', '9']",6,6,4,7,9,6.4,5200000
3,CA Osasuna,Nacho Vidal,DF,16,88,0,0,68,4.3,"['3', '2', '8', '5', '2']",3,2,8,5,2,4.0,2710000
3,CA Osasuna,Unai García,DF,12,65,0,0,46,3.8,"['0', '6', '2', '6', '3']",0,6,2,6,3,3.4,1340000
3,CA Osasuna,José Ángel Cote,DF,11,24,1,1,38,3.5,"['2', '-', '6', '-', '3']",2,0,6,0,3,2.2,1230000
3,CA Osasuna,Juan Cruz,DF,6,29,0,0,19,3.2,"['-', '4', '-', '5', '2']",0,4,0,5,2,2.2,460000
