Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_25,J_26,J_27,J_28,J_29,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,25,86,0,0,115,4.6,"['7', '-1', '2', '5', '2']",7,-1,2,5,2,3.0,3650000
1,Athletic Club,Agirrezabala,PT,26,14,3,7,20,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,460000
1,Athletic Club,Ezkieta,PT,29,0,7,3,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
1,Athletic Club,Iñigo Martínez,DF,25,69,0,0,115,5.5,"['6', '0', '7', '-', '-']",6,0,7,0,0,2.6,6110000
1,Athletic Club,Daniel Vivian,DF,25,55,0,0,98,5.8,"['13', '2', '2', '4', '6']",13,2,2,4,6,5.4,3550000
1,Athletic Club,Lekue,DF,23,72,0,2,82,3.6,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,1550000
1,Athletic Club,Yeray Álvarez,DF,23,55,0,0,76,4.8,"['-', '4', '5', '4', '4']",0,4,5,4,4,3.4,2780000
1,Athletic Club,De Marcos,DF,21,41,3,0,75,5,"['8', '-', '3', '2', '2']",8,0,3,2,2,3.0,1970000
1,Athletic Club,Balenziaga,DF,26,72,1,6,71,3.1,"['-', '-1', '-', '3', '-']",0,-1,0,3,0,0.4,1500000
1,Athletic Club,Yuri Berchiche,DF,26,14,4,1,37,6.2,"['5', '-', '5', '4', '13']",5,0,5,4,13,5.4,4000000
1,Athletic Club,Unai Núñez,DF,17,21,2,1,20,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,540000
1,Athletic Club,Álex Petxarroman,DF,16,0,0,0,16,1.6,"['-', '-', '2', '-', '2']",0,0,2,0,2,0.8,380000
1,Athletic Club,Capa,DF,24,0,6,4,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,650000
1,Athletic Club,Muniain,MD,15,86,1,2,179,6.9,"['16', '-', '5', '9', '8']",16,0,5,9,8,7.6,10700000
1,Athletic Club,Álex Berenguer,MD,24,66,1,0,99,3.8,"['9', '-', '12', '4', '8']",9,0,12,4,8,6.6,4830000
1,Athletic Club,Unai Vencedor,MD,22,79,1,0,81,3.2,"['2', '0', '4', '5', '1']",2,0,4,5,1,2.4,2450000
1,Athletic Club,Dani García,MD,26,76,0,0,69,2.8,"['6', '2', '-', '-', '-']",6,2,0,0,0,1.6,1400000
1,Athletic Club,Mikel Vesga,MD,8,34,0,0,66,2.8,"['5', '4', '11', '2', '5']",5,4,11,2,5,5.4,1440000
1,Athletic Club,Nico Williams,MD,6,21,1,1,61,2.3,"['-', '-1', '3', '3', '1']",0,-1,3,3,1,1.2,4910000
1,Athletic Club,Zarraga,MD,4,28,0,0,59,2.7,"['-', '4', '10', '2', '-']",0,4,10,2,0,3.2,1110000
1,Athletic Club,Nico Serrano,MD,12,10,1,0,35,2.9,"['-', '0', '-', '2', '1']",0,0,0,2,1,0.6,690000
1,Athletic Club,Williams,DL,13,83,0,0,146,5,"['9', '2', '9', '1', '5']",9,2,9,1,5,5.2,10350000
1,Athletic Club,Sancet,DL,10,48,0,0,118,4.9,"['14', '0', '2', '2', '2']",14,0,2,2,2,4.0,6060000
1,Athletic Club,Raúl García,DL,7,62,0,0,111,4.3,"['1', '2', '-', '2', '2']",1,2,0,2,2,1.4,4820000
1,Athletic Club,Villalibre,DL,1,7,0,0,29,2.2,"['-', '2', '2', '-', '4']",0,2,2,0,4,1.6,720000
