Player,Matchs,Goals,Assists
Unai Simón,26,0,0
Iker Muniain,27,3,7
Iñaki Williams,30,7,3
Unai Venced,26,0,0
Dani García,25,0,0
Iñigo Lekue,23,0,2
Mikel Balenziaga,23,0,0
Iñigo Martínez,21,3,0
Álex Berenguer,27,2,6
Raúl García,27,4,2
Daniel Vivian,18,2,1
Yeray Álvarez,16,0,0
Oihan Sancet,25,6,4
Óscar ,16,1,2
Mikel Vesga,25,1,0
Oier Zarraga,23,1,0
Unai Núñez,9,0,0
Nico Williams,27,0,0
Yuri Berchiche,7,1,2
Julen Agirrezabala,4,0,0
Nicolás Serrano,12,1,0
Asier Villalibre,14,1,0
Alex Petxa,11,0,0
Jon Morcillo,7,0,0
Peru Nolaskoain,1,0,0
Juan Artola,0,0,0
Ander Capa,0,0,0
Jokin Ezkieta,0,0,0
Iru,0,0,0
Aitor Paredes,0,0,0
