Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_34,J_35,J_36,J_37,J_38,Avg_last_5_games,Value
3,CA Osasuna,Sergio Herrera,PT,36,95,0,0,176,4.9,"['3', '2', '-', '6', '3']",3,2,0,6,3,2.8,3740000
3,CA Osasuna,Juan Pérez,PT,35,5,4,0,-1,-0.5,"['-', '-', '1', '-', '-']",0,0,1,0,0,0.2,340000
3,CA Osasuna,David García Zub.,DF,36,92,2,3,186,5.3,"['6', '5', '4', '-', '2']",6,5,4,0,2,3.4,5820000
3,CA Osasuna,Nacho Vidal,DF,35,87,0,1,136,3.9,"['4', '4', '4', '1', '-']",4,4,4,1,0,2.6,2030000
3,CA Osasuna,Unai García,DF,33,39,1,0,74,4.1,"['-', '-', '6', '-', '7']",0,0,6,0,7,2.6,620000
3,CA Osasuna,Juan Cruz,DF,37,58,1,6,69,3,"['2', '3', '5', '3', '-']",2,3,5,3,0,2.6,680000
3,CA Osasuna,José Ángel Cote,DF,35,32,1,2,67,2.9,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,930000
3,CA Osasuna,Aridane Hernández,DF,33,32,1,3,44,2.9,"['6', '4', '-', '2', '-']",6,4,0,2,0,2.4,1870000
3,CA Osasuna,Unai Dufur,DF,23,3,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,250000
3,CA Osasuna,Jesús Areso,DF,36,5,6,1,2,0.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
3,CA Osasuna,Rubén García,MD,28,79,8,2,171,4.6,"['4', '4', '8', '2', '3']",4,4,8,2,3,4.2,5090000
3,CA Osasuna,Jon Moncayola,MD,33,87,5,1,164,4.6,"['5', '7', '5', '4', '-']",5,7,5,4,0,4.2,5130000
3,CA Osasuna,Kike Barja,MD,33,24,5,1,68,3.2,"['3', '11', '4', '3', '4']",3,11,4,3,4,5.0,940000
3,CA Osasuna,Lucas Torró,MD,18,84,0,0,150,4.5,"['5', '2', '4', '-', '3']",5,2,4,0,3,2.8,3590000
3,CA Osasuna,Brasanac,MD,15,71,0,0,103,2.9,"['3', '1', '2', '7', '4']",3,1,2,7,4,3.4,750000
3,CA Osasuna,Roberto Torres,MD,23,16,1,1,99,3.5,"['4', '-', '2', '2', '1']",4,0,2,2,1,1.8,1520000
3,CA Osasuna,Javi Martínez Calvo,MD,26,24,1,1,81,3.1,"['2', '4', '-', '2', '-']",2,4,0,2,0,1.6,660000
3,CA Osasuna,Robert Ibáñez,MD,25,3,1,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
3,CA Osasuna,Iker Benito,MD,28,3,2,2,6,1.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
3,CA Osasuna,Ezequiel Ávila,DL,10,58,1,0,154,4.3,"['2', '5', '2', '2', '5']",2,5,2,2,5,3.2,5490000
3,CA Osasuna,Kike García,DL,3,47,0,0,127,3.8,"['2', '-', '2', '2', '2']",2,0,2,2,2,1.6,2910000
3,CA Osasuna,Budimir,DL,3,53,0,0,124,4.4,"['9', '9', '3', '2', '0']",9,9,3,2,0,4.6,8130000
3,CA Osasuna,Barbero,DL,2,0,0,0,8,1.1,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,240000
3,CA Osasuna,Marc Cardona,DL,4,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
