Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_26,J_27,J_28,J_29,J_30,Avg_last_5_games
3,CA Osasuna,Sergio Herrera,PT,133,4.6,3810000,97,"['6', '8', '2', '4', '1']",6,8,2,4,1,4.2
3,CA Osasuna,Juan Pérez,PT,-2,-2,230000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
3,CA Osasuna,David García Zub.,DF,157,5.6,5250000,93,"['6', '6', '2', '5', '1']",6,6,2,5,1,4.0
3,CA Osasuna,Nacho Vidal,DF,118,4.2,2650000,90,"['5', '7', '0', '2', '2']",5,7,0,2,2,3.2
3,CA Osasuna,Manu Sánchez,DF,93,3.4,1710000,70,"['3', '2', '-', '4', '1']",3,2,0,4,1,2.0
3,CA Osasuna,Unai García,DF,61,3.8,900000,43,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0
3,CA Osasuna,José Ángel Cote,DF,57,3,820000,27,"['3', '-', '-1', '-', '1']",3,0,-1,0,1,0.6
3,CA Osasuna,Juan Cruz,DF,56,2.9,960000,60,"['2', '5', '2', '2', '2']",2,5,2,2,2,2.6
3,CA Osasuna,Aridane Hernández,DF,24,2.7,1450000,20,"['-', '4', '4', '-', '1']",0,4,4,0,1,1.8
3,CA Osasuna,Ramalho,DF,5,5,250000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
3,CA Osasuna,Unai Dufur,DF,2,2,250000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
3,CA Osasuna,Jesús Areso,DF,0,0,270000,7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
3,CA Osasuna,Rubén García,MD,143,4.9,6550000,87,"['5', '9', '1', '10', '5']",5,9,1,10,5,6.0
3,CA Osasuna,Jon Moncayola,MD,129,4.4,4080000,90,"['3', '1', '1', '4', '4']",3,1,1,4,4,2.6
3,CA Osasuna,Lucas Torró,MD,128,4.7,3860000,90,"['4', '4', '2', '7', '2']",4,4,2,7,2,3.8
3,CA Osasuna,Brasanac,MD,87,3.1,970000,73,"['2', '4', '1', '11', '4']",2,4,1,11,4,4.4
3,CA Osasuna,Roberto Torres,MD,84,3.8,2240000,17,"['4', '-', '2', '3', '2']",4,0,2,3,2,2.2
3,CA Osasuna,Javi Martínez Calvo,MD,68,3.4,870000,20,"['4', '2', '4', '-', '2']",4,2,4,0,2,2.4
3,CA Osasuna,Kike Barja,MD,39,2.8,1110000,27,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
3,CA Osasuna,Oier,MD,26,1.4,400000,17,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
3,CA Osasuna,Iñigo Pérez,MD,19,2.7,360000,7,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8
3,CA Osasuna,Iker Benito,MD,6,1.5,270000,3,"['-', '-', '0', '2', '-']",0,0,0,2,0,0.4
3,CA Osasuna,Aimar Oroz,MD,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
3,CA Osasuna,Ezequiel Ávila,DL,121,4.3,5990000,50,"['4', '9', '-', '12', '2']",4,9,0,12,2,5.4
3,CA Osasuna,Kike García,DL,116,4.1,4870000,57,"['3', '4', '2', '0', '2']",3,4,2,0,2,2.2
3,CA Osasuna,Budimir,DL,77,3.9,2780000,43,"['3', '1', '2', '14', '11']",3,1,2,14,11,6.2
3,CA Osasuna,Barbero,DL,4,0.8,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
