Player,Matchs,Goals,Assists
Sergio Herrera,26,0,0
David García,25,4,0
Jon Moncayola,26,2,3
Nacho Vidal,25,0,1
Lucas Torró,24,1,0
Rubén García,26,1,3
Darko Brašanac,25,0,2
Manuel Sánchez,25,1,2
Kike,25,5,1
Juan Cr,16,0,0
Ezequiel Ávila,26,4,1
Unai García,15,0,0
Ante Budimir,17,2,0
Kike Barja,14,1,0
José Ángel,17,1,1
Aridane Hernández,7,0,0
Roberto Torres,19,2,2
Javi Martínez,18,1,1
Oier Sanjurjo,18,0,0
Iñigo Pérez,6,1,0
Jesús Areso,2,0,0
Robert Ibáñez,4,0,0
Unai Dufur,1,0,0
Juan Pérez,1,0,0
Jonás Ramalho,1,0,0
Javier Ontiveros,3,0,0
Iker Benito,2,0,0
Barbero,4,0,0
Jaume Grau,1,0,0
Pau Martínez,0,0,0
Yoel Ramírez,0,0,0
Dario Ramos,0,0,0
