Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_30,J_31,J_32,J_33,J_34,Avg_last_5_games
2,Club Atlético de Madrid,Oblak,PT,109,3.2,4130000,100,"['4', '3', '7', '6', '2']",4,3,7,6,2,4.4
2,Club Atlético de Madrid,Lecomte,PT,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Savic,DF,103,4.3,3560000,71,"['4', '1', '6', '4', '-']",4,1,6,4,0,3.0
2,Club Atlético de Madrid,José Giménez,DF,99,4.7,3520000,62,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2
2,Club Atlético de Madrid,Mario Hermoso,DF,98,3.8,2100000,62,"['-', '-', '9', '-', '2']",0,0,9,0,2,2.2
2,Club Atlético de Madrid,Renan Lodi,DF,86,3.2,3410000,38,"['2', '2', '5', '2', '1']",2,2,5,2,1,2.4
2,Club Atlético de Madrid,Felipe,DF,70,3.2,1870000,41,"['4', '4', '-', '-', '-']",4,4,0,0,0,1.6
2,Club Atlético de Madrid,Vrsaljko,DF,69,3.6,1230000,24,"['1', '2', '3', '3', '1']",1,2,3,3,1,2.0
2,Club Atlético de Madrid,Reinildo Mandava,DF,50,3.8,4470000,32,"['2', '4', '5', '4', '2']",2,4,5,4,2,3.4
2,Club Atlético de Madrid,Ferreira Carrasco,MD,168,5.6,9290000,71,"['7', '17', '8', '-', '0']",7,17,8,0,0,6.4
2,Club Atlético de Madrid,Rodrigo de Paul,MD,155,4.8,7190000,62,"['4', '3', '7', '2', '4']",4,3,7,2,4,4.0
2,Club Atlético de Madrid,Kondogbia,MD,115,4.8,4280000,50,"['2', '2', '-', '5', '-']",2,2,0,5,0,1.8
2,Club Atlético de Madrid,Lemar,MD,114,5,4720000,50,"['4', '-1', '-', '5', '4']",4,-1,0,5,4,2.4
2,Club Atlético de Madrid,Marcos Llorente,MD,108,4.2,6550000,76,"['4', '3', '2', '5', '5']",4,3,2,5,5,3.8
2,Club Atlético de Madrid,Koke,MD,105,3.9,4140000,74,"['2', '4', '4', '1', '3']",2,4,4,1,3,2.8
2,Club Atlético de Madrid,Daniel Wass,MD,76,3.8,2960000,56,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Héctor Herrera,MD,69,3.6,2330000,24,"['-', '-', '-', '6', '1']",0,0,0,6,1,1.4
2,Club Atlético de Madrid,Carlos Martín,MD,3,3,280000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Javi Serrano,MD,0,0,550000,3,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8
2,Club Atlético de Madrid,Correa,DL,170,5.3,11700000,59,"['-', '3', '4', '2', '4']",0,3,4,2,4,2.6
2,Club Atlético de Madrid,Luis Suárez,DL,163,5.1,11670000,56,"['4', '-', '5', '2', '3']",4,0,5,2,3,2.8
2,Club Atlético de Madrid,João Félix,DL,150,6.3,13810000,38,"['3', '1', '-', '6', '-']",3,1,0,6,0,2.0
2,Club Atlético de Madrid,Griezmann,DL,123,4.9,11100000,62,"['4', '2', '4', '-', '7']",4,2,4,0,7,3.4
2,Club Atlético de Madrid,Matheus Cunha,DL,111,4.4,5550000,15,"['2', '7', '0', '2', '2']",2,7,0,2,2,2.6
