Player,Matchs,Goals,Assists
Jan Oblak,27,0,0
Yannick Carrasco,24,3,5
Koke,21,0,1
Mario Hermoso,23,2,1
Marcos Llorente,19,0,2
Stefan Savić,18,0,0
Ángel Correa,27,11,5
Rodrigo ,25,0,1
Luis Suárez,26,9,2
José Mar,17,0,1
Thomas Lemar,20,4,5
Geoffrey Kondogbia,19,1,2
Felipe,17,2,1
Kieran Trippiere,15,0,0
Antoine Griezmann,15,3,2
João Félix,19,5,3
Renan Lodi,20,2,1
Šime Vrsaljko,14,1,1
Matheus Cunha,20,5,2
Héctor Herrera,16,0,0
Reinildo Mandava,6,0,0
Saúl Ñíguez,3,0,1
Daniel Wass,1,0,0
Javier Serrano,3,0,0
Carlos Martín,1,0,0
Benjamin Lecomte,0,0,0
Pablo Barrios,0,0,0
Ibrahima Camara,0,0,0
Sergio Camello,0,0,0
Antonio Gomis,0,0,0
Ivo Grbić,0,0,0
Manu Lama,0,0,0
Marco Moreno,0,0,0
Nehuén Pérez,0,0,0
Joan Rojas,0,0,0
Ivan Šaponjić,0,0,0
Giuliano Simeone,0,0,0
