Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_31,J_32,J_33,J_34,J_35,Avg_last_5_games
17,Cádiz CF,Jeremías Ledesma,PT,173,4.9,3050000,100,"['12', '9', '7', '6', '8']",12,9,7,6,8,8.4
17,Cádiz CF,David Gil,PT,0,0,200000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Espino,DF,139,4.1,3160000,97,"['0', '2', '3', '2', '5']",0,2,3,2,5,2.4
17,Cádiz CF,Fali,DF,90,3.5,1080000,60,"['8', '4', '2', '5', '4']",8,4,2,5,4,4.6
17,Cádiz CF,Akapo,DF,86,3.7,1330000,54,"['4', '0', '-', '4', '4']",4,0,0,4,4,2.4
17,Cádiz CF,Víctor Chust,DF,78,3.3,1370000,54,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6
17,Cádiz CF,Iza Carcelén,DF,65,3,780000,46,"['-', '-', '1', '-', '2']",0,0,1,0,2,0.6
17,Cádiz CF,Varazdat Haroyan,DF,64,3.8,450000,46,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Luis Hernández,DF,58,4.5,1920000,34,"['6', '4', '-', '2', '6']",6,4,0,2,6,3.6
17,Cádiz CF,Arzamendia,DF,36,2.6,470000,14,"['2', '-', '2', '4', '-']",2,0,2,4,0,1.6
17,Cádiz CF,Cala,DF,24,1.8,450000,29,"['-', '-', '0', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Raúl Parra,DF,3,1.5,210000,3,"['3', '-', '0', '-', '-']",3,0,0,0,0,0.6
17,Cádiz CF,Álex Fernández,MD,109,3.8,2360000,54,"['2', '5', '2', '5', '8']",2,5,2,5,8,4.4
17,Cádiz CF,Jens Jonsson,MD,85,3.9,880000,49,"['6', '-', '-', '2', '-']",6,0,0,2,0,1.6
17,Cádiz CF,Tomás Alarcón,MD,83,4,1090000,43,"['-', '-', '-', '3', '3']",0,0,0,3,3,1.2
17,Cádiz CF,Salvi,MD,71,3.2,880000,49,"['2', '-', '2', '2', '-']",2,0,2,2,0,1.2
17,Cádiz CF,Iván Alejo,MD,69,3.6,900000,31,"['4', '7', '11', '2', '0']",4,7,11,2,0,4.8
17,Cádiz CF,Rubén Alcaraz,MD,68,6.2,4260000,29,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8
17,Cádiz CF,Alberto Perea,MD,49,2.7,590000,23,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
17,Cádiz CF,Fede San Emeterio,MD,32,2.7,740000,29,"['2', '0', '4', '2', '-']",2,0,4,2,0,1.6
17,Cádiz CF,José Mari,MD,23,2.9,470000,9,"['4', '3', '-', '5', '4']",4,3,0,5,4,3.2
17,Cádiz CF,Álvaro Bastida,MD,14,2,270000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Kike Carrasco,MD,0,0,220000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Negredo,DL,164,5.3,6290000,63,"['-', '11', '14', '4', '12']",0,11,14,4,12,8.2
17,Cádiz CF,Lucas Pérez,DL,126,4.2,7080000,69,"['7', '11', '2', '10', '8']",7,11,2,10,8,7.6
17,Cádiz CF,Choco Lozano,DL,119,4.3,2280000,60,"['-', '4', '1', '-', '9']",0,4,1,0,9,2.8
17,Cádiz CF,Sobrino,DL,95,3.1,1410000,46,"['0', '8', '2', '4', '8']",0,8,2,4,8,4.4
17,Cádiz CF,Idrissi,DL,60,4.3,2090000,29,"['-', '6', '-', '-', '5']",0,6,0,0,5,2.2
17,Cádiz CF,Iván Chapela,DL,23,2.6,320000,11,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
17,Cádiz CF,Florin Andone,DL,13,2.6,380000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
