Player,Matchs,Goals,Assists
Jeremías Ledesma,30,0,0
Alfonso Espino,29,2,2
Anthony Lozano,25,5,2
Álvaro Negredo,27,6,1
Fali,22,0,2
Víctor Chust,20,0,0
Álex Fernández,24,3,1
Varazdat Haroyan,17,1,0
Isaac Carcelen,21,0,0
Salvi,20,2,1
Carlos Akapo,18,0,0
Tomás Alarcón,19,0,1
Jens Jønsson,20,0,1
Rubén Sobrino,25,1,1
Cala,13,0,0
Alberto Perea,18,0,1
Rubén Alcaraz,9,2,0
Fede S,8,0,0
Iván Alejo,14,1,2
Luis Hernández,8,0,0
Santiago Arzamendia,12,1,0
Oussama Idrissi,6,1,1
Lucas Pérez,7,0,1
Chapela,9,0,0
Milutin Osmajić,10,0,0
Álvaro Bastida,6,0,0
Álvaro Jiménez,9,0,0
Florin Andone,5,0,0
Marcos Mau,3,0,0
Martín,6,0,0
José Mari,4,0,0
Pedro Benito,1,0,0
Raúl Parra,1,0,0
Juan Flere,0,0,0
David Gil,0,0,0
Victor Wehbi,0,0,0
