Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_23,J_24,J_25,J_26,J_27,Avg_last_5_games,Value
16,Deportivo Alavés,Pacheco,PT,27,89,1,2,91,3.8,"['-1', '4', '4', '1', '10']",-1,4,4,1,10,3.6,2300000
16,Deportivo Alavés,Sivera,PT,27,7,12,2,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
16,Deportivo Alavés,Owono,PT,24,4,2,1,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
16,Deportivo Alavés,Laguardia,DF,24,89,0,0,101,4.2,"['2', '5', '-', '1', '6']",2,5,0,1,6,2.8,3060000
16,Deportivo Alavés,Rubén Duarte,DF,24,85,0,3,91,3.8,"['2', '3', '3', '12', '5']",2,3,3,12,5,5.0,2640000
16,Deportivo Alavés,Lejeune,DF,19,70,0,0,61,3.2,"['2', '2', '2', '2', '6']",2,2,2,2,6,2.8,1750000
16,Deportivo Alavés,Martín Aguirregabiria,DF,22,59,2,0,52,2.9,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,910000
16,Deportivo Alavés,Miazga,DF,18,33,0,1,42,3.8,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,880000
16,Deportivo Alavés,Ximo Navarro,DF,23,33,0,1,30,3,"['-', '-', '1', '-', '-']",0,0,1,0,0,0.2,570000
16,Deportivo Alavés,Nahuel Tenaglia,DF,21,15,0,0,19,3.8,"['1', '4', '4', '3', '7']",1,4,4,3,7,3.8,1140000
16,Deportivo Alavés,Javi López Carballo,DF,19,15,1,0,11,1.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
16,Deportivo Alavés,Saúl García,DF,23,0,1,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
16,Deportivo Alavés,Alexandru Tirlea,DF,11,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
16,Deportivo Alavés,Keller,DF,10,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
16,Deportivo Alavés,Luis Rioja,MD,19,96,0,0,88,3.3,"['7', '2', '3', '1', '0']",7,2,3,1,0,2.6,3250000
16,Deportivo Alavés,Mamadou Loum,MD,8,67,1,0,84,3.8,"['-', '12', '1', '5', '-']",0,12,1,5,0,3.6,2060000
16,Deportivo Alavés,Toni Moya,MD,14,56,0,1,72,3.1,"['-', '-', '1', '-', '7']",0,0,1,0,7,1.6,1360000
16,Deportivo Alavés,Manu García Alonso,MD,18,26,0,0,65,3.4,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,860000
16,Deportivo Alavés,Edgar Méndez,MD,7,33,0,0,62,2.7,"['1', '2', '2', '9', '7']",1,2,2,9,7,4.2,1140000
16,Deportivo Alavés,Tomás Pina,MD,7,48,0,0,53,2.5,"['2', '2', '4', '4', '-']",2,2,4,4,0,2.4,1030000
16,Deportivo Alavés,Pere Pons,MD,5,48,0,0,43,2.3,"['1', '1', '-1', '-', '2']",1,1,-1,0,2,0.6,980000
16,Deportivo Alavés,Facundo Pellistri,MD,13,22,0,0,36,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,580000
16,Deportivo Alavés,Gonzalo Escalante,MD,9,26,0,0,29,3.6,"['2', '6', '3', '11', '2']",2,6,3,11,2,4.8,2360000
16,Deportivo Alavés,Jason,MD,5,26,0,0,28,2.3,"['2', '0', '3', '-', '4']",2,0,3,0,4,1.8,990000
16,Deportivo Alavés,Joselu,DL,3,93,0,0,187,6.9,"['10', '12', '2', '2', '5']",10,12,2,2,5,6.2,14030000
16,Deportivo Alavés,Miguel de la Fuente,DL,6,26,0,0,35,2.5,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,650000
16,Deportivo Alavés,Manu Vallejo,DL,1,0,0,0,26,2,"['1', '-', '2', '2', '-']",1,0,2,2,0,1.0,1050000
16,Deportivo Alavés,Guidetti,DL,4,7,0,0,25,2.8,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,530000
