Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_19,J_20,J_21,J_22,J_23,Avg_last_5_games,Value
18,Elche CF,Kiko Casilla,PT,12,50,0,0,59,4.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1450000
18,Elche CF,Édgar Badía,PT,11,50,0,0,57,4.8,"['11', '2', '7', '2', '3']",11,2,7,2,3,5.0,3240000
18,Elche CF,Johan Mojica,DF,22,92,1,4,101,4.4,"['6', '8', '1', '8', '3']",6,8,1,8,3,5.2,4060000
18,Elche CF,Helibelton Palacios,DF,19,67,0,0,71,3.6,"['6', '4', '4', '4', '2']",6,4,4,4,2,4.0,1170000
18,Elche CF,Enzo Roco,DF,17,71,1,0,63,3.5,"['-', '6', '-', '-', '2']",0,6,0,0,2,1.6,1480000
18,Elche CF,Bigas,DF,11,46,0,0,47,4.3,"['8', '-', '-', '5', '-']",8,0,0,5,0,2.6,1300000
18,Elche CF,Gonzalo Verdú,DF,13,54,0,0,46,3.3,"['2', '3', '7', '4', '1']",2,3,7,4,1,3.4,1210000
18,Elche CF,Diego González,DF,18,50,0,0,45,2.5,"['-8', '-', '4', '2', '-']",-8,0,4,2,0,-0.4,1070000
18,Elche CF,Barragán,DF,9,29,0,0,31,3.1,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,440000
18,Elche CF,Lucas Olaza,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1430000
18,Elche CF,John Donald,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
18,Elche CF,Fidel,MD,19,79,3,3,90,4.5,"['3', '-', '5', '14', '3']",3,0,5,14,3,5.0,4230000
18,Elche CF,Tete Morente,MD,17,46,2,3,84,4.7,"['3', '7', '3', '5', '1']",3,7,3,5,1,3.8,3090000
18,Elche CF,Omar Mascarell,MD,19,79,0,0,69,3.5,"['6', '4', '-', '2', '2']",6,4,0,2,2,2.8,1760000
18,Elche CF,Gumbau,MD,18,42,0,2,67,3.5,"['8', '0', '4', '4', '4']",8,0,4,4,4,4.0,1500000
18,Elche CF,Josan,MD,17,25,1,1,51,2.8,"['2', '3', '2', '-', '2']",2,3,2,0,2,1.8,1250000
18,Elche CF,Raúl Guti,MD,18,46,0,0,45,2.5,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,1190000
18,Elche CF,Iván Marcone,MD,13,33,0,0,36,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,660000
18,Elche CF,Pastore,MD,9,21,0,0,23,2.3,"['3', '-', '-', '-', '-1']",3,0,0,0,-1,0.4,1040000
18,Elche CF,Piatti,MD,5,8,0,0,17,2.8,"['2', '-', '-', '-', '2']",2,0,0,0,2,0.8,590000
18,Elche CF,Kike Pérez,MD,0,0,0,0,3,3,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,380000
18,Elche CF,Lucas Boyé,DL,18,67,7,3,108,6,"['-', '-', '14', '3', '-']",0,0,14,3,0,3.4,6470000
18,Elche CF,Pere Milla,DL,18,29,7,1,88,4.6,"['5', '17', '3', '16', '2']",5,17,3,16,2,8.6,2650000
18,Elche CF,Guido Carrillo,DL,16,21,0,0,46,2.7,"['3', '3', '-', '2', '4']",3,3,0,2,4,2.4,1120000
