Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_26,J_27,J_28,J_29,J_30,Avg_last_5_games
18,Elche CF,Édgar Badía,PT,82,4.6,2650000,60,"['-1', '7', '10', '2', '5']",-1,7,10,2,5,4.6
18,Elche CF,Kiko Casilla,PT,59,4.9,620000,40,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
18,Elche CF,Johan Mojica,DF,108,3.9,3720000,90,"['1', '4', '5', '-5', '-']",1,4,5,-5,0,1.0
18,Elche CF,Enzo Roco,DF,83,3.6,1560000,73,"['1', '5', '5', '3', '-']",1,5,5,3,0,2.8
18,Elche CF,Helibelton Palacios,DF,81,3.7,830000,60,"['-', '-', '6', '-', '4']",0,0,6,0,4,2.0
18,Elche CF,Diego González,DF,60,2.6,870000,53,"['-', '5', '3', '5', '2']",0,5,3,5,2,3.0
18,Elche CF,Bigas,DF,58,4.1,930000,47,"['4', '-', '-', '-', '3']",4,0,0,0,3,1.4
18,Elche CF,Gonzalo Verdú,DF,50,3.3,1060000,43,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8
18,Elche CF,Barragán,DF,38,2.7,420000,37,"['2', '0', '-', '4', '-']",2,0,0,4,0,1.2
18,Elche CF,Lucas Olaza,DF,6,3,1120000,3,"['-', '-', '2', '-', '4']",0,0,2,0,4,1.2
18,Elche CF,John Donald,DF,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
18,Elche CF,Fidel,MD,121,4.7,4490000,80,"['3', '11', '10', '1', '2']",3,11,10,1,2,5.4
18,Elche CF,Tete Morente,MD,92,3.8,2580000,50,"['2', '-1', '2', '2', '1']",2,-1,2,2,1,1.2
18,Elche CF,Omar Mascarell,MD,81,3.2,1260000,80,"['4', '1', '4', '2', '-']",4,1,4,2,0,2.2
18,Elche CF,Gumbau,MD,74,3.2,1130000,47,"['2', '2', '-', '4', '9']",2,2,0,4,9,3.4
18,Elche CF,Josan,MD,72,3.1,1010000,20,"['-5', '-', '3', '3', '6']",-5,0,3,3,6,1.4
18,Elche CF,Raúl Guti,MD,54,2.3,800000,43,"['0', '4', '-', '2', '1']",0,4,0,2,1,1.4
18,Elche CF,Iván Marcone,MD,48,2.7,540000,30,"['1', '3', '2', '-', '4']",1,3,2,0,4,2.0
18,Elche CF,Piatti,MD,19,2.7,370000,7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
18,Elche CF,Pastore,MD,23,2.3,900000,17,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
18,Elche CF,Kike Pérez,MD,16,4,400000,0,"['-', '3', '-', '5', '-']",0,3,0,5,0,1.6
18,Elche CF,Lucas Boyé,DL,121,5.3,6460000,70,"['5', '2', '1', '2', '3']",5,2,1,2,3,2.6
18,Elche CF,Pere Milla,DL,109,4.4,4690000,43,"['1', '3', '6', '0', '2']",1,3,6,0,2,2.4
18,Elche CF,Guido Carrillo,DL,67,2.9,1160000,23,"['3', '2', '3', '2', '2']",3,2,3,2,2,2.4
18,Elche CF,Ezequiel Ponce,DL,23,3.8,1550000,7,"['1', '2', '5', '2', '5']",1,2,5,2,5,3.0
