Player,Matchs,Goals,Assists
Johan Mojica,30,2,5
Omar Mascarell,27,0,0
Fidel,28,5,5
Enzo Roco,25,1,0
Lucas Boyé,23,7,3
Édgar Badía,20,0,0
Helibelton Palacios,23,0,0
Diego González,25,0,0
Tete Morente,26,2,3
Lucas Pérez,18,2,1
Gerard Gumbau,25,0,3
Pedro Bigas,15,1,0
Pere Milla,27,7,3
Raúl Guti,25,0,0
Gonzalo Verdú,17,0,0
Kiko Casilla,12,0,0
Antonio Barragán,14,0,0
Iván Marcone,18,0,0
Guido Carrillo,24,2,0
Josan,25,2,1
Darío Benedetto,14,2,1
Javier Pastore,10,0,0
Ezequiel Ponce,8,1,0
Pablo Piatti,8,0,0
Josema,6,0,0
Kike Pérez,6,0,0
Lucas Olaza,2,0,0
Jony Álamo,0,0,0
Lluis Andreu,0,0,0
Sergio Bo,0,0,0
Diego Bri,0,0,0
César,0,0,0
John Donald,0,0,0
José Friaza,0,0,0
Marco Soler,0,0,0
Axel Werner,0,0,0
