Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_33,J_34,J_35,J_36,J_37,Avg_last_5_games,Value
5,FC Barcelona,Ter Stegen,PT,35,92,2,0,145,4.3,"['2', '2', '-', '2', '8']",2,2,0,2,8,2.8,5220000
5,FC Barcelona,Neto,PT,34,8,0,0,11,3.7,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,390000
5,FC Barcelona,Jordi Alba,DF,29,78,2,10,199,6.9,"['7', '9', '17', '5', '-']",7,9,17,5,0,7.6,12080000
5,FC Barcelona,Ronald Araujo,DF,31,65,3,3,166,5.7,"['8', '5', '9', '2', '-']",8,5,9,2,0,4.8,8660000
5,FC Barcelona,Piqué,DF,33,68,2,5,141,5.2,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,5670000
5,FC Barcelona,Eric García,DF,27,62,1,0,98,3.6,"['4', '4', '1', '3', '-']",4,4,1,3,0,2.4,3370000
5,FC Barcelona,Sergiño Dest,DF,29,46,4,0,87,4.1,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,1890000
5,FC Barcelona,Dani Alves,DF,26,32,0,0,79,6.1,"['-', '7', '8', '2', '8']",0,7,8,2,8,5.0,4890000
5,FC Barcelona,Mingueza,DF,27,24,12,2,64,3.6,"['-', '-', '-', '2', '6']",0,0,0,2,6,1.6,990000
5,FC Barcelona,Lenglet,DF,21,16,0,3,50,2.5,"['6', '-', '-', '3', '5']",6,0,0,3,5,2.8,1250000
5,FC Barcelona,Alejandro Balde,DF,17,5,4,4,9,1.8,"['-', '-', '-', '-', '6']",0,0,0,0,6,1.2,450000
5,FC Barcelona,Umtiti,DF,20,3,1,13,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,310000
5,FC Barcelona,Sergio Busquets,MD,27,95,2,1,219,6.3,"['6', '12', '10', '-', '6']",6,12,10,0,6,6.8,10250000
5,FC Barcelona,De Jong,MD,16,78,11,1,169,5.5,"['4', '5', '5', '5', '-']",4,5,5,5,0,3.8,11800000
5,FC Barcelona,Gavi,MD,13,73,1,3,140,4.4,"['6', '6', '1', '4', '4']",6,6,1,4,4,4.2,8710000
5,FC Barcelona,Nico González,MD,12,32,3,1,93,3.4,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,2920000
5,FC Barcelona,Pedri,MD,18,27,0,1,82,6.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,9320000
5,FC Barcelona,Riqui Puig,MD,20,5,0,1,44,3.1,"['-', '-', '1', '2', '2']",0,0,1,2,2,1.0,870000
5,FC Barcelona,Sergi Roberto,MD,21,11,6,0,41,4.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,950000
5,FC Barcelona,Álvaro Sanz,MD,10,0,1,0,3,1.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
5,FC Barcelona,Depay,DL,12,54,2,0,200,7.4,"['5', '14', '4', '12', '4']",5,14,4,12,4,7.8,14550000
5,FC Barcelona,Dembélé,DL,9,41,2,1,154,7.7,"['7', '2', '2', '10', '-']",7,2,2,10,0,4.2,22180000
5,FC Barcelona,Aubameyang,DL,6,32,1,0,113,7.1,"['2', '2', '1', '16', '3']",2,2,1,16,3,4.8,23990000
5,FC Barcelona,Luuk de Jong,DL,10,16,0,2,94,4.5,"['2', '-', '-', '1', '3']",2,0,0,1,3,1.2,3580000
5,FC Barcelona,Ferrán Torres,DL,9,43,4,0,90,5.3,"['1', '4', '4', '2', '4']",1,4,4,2,4,3.0,17690000
5,FC Barcelona,Ansu Fati,DL,3,8,0,0,58,6.4,"['-', '2', '10', '3', '1']",0,2,10,3,1,3.2,17530000
5,FC Barcelona,Adama Traoré,DL,3,8,0,0,44,4.4,"['6', '-', '2', '-', '-']",6,0,2,0,0,1.6,8180000
5,FC Barcelona,Abde Ezzalzouli,DL,4,16,2,1,44,4.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1420000
5,FC Barcelona,Braithwaite,DL,14,8,1,0,24,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1100000
5,FC Barcelona,Ferrán Jutglà,DL,6,11,0,0,21,4.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1150000
5,FC Barcelona,Ilias Akhomach,DL,5,5,0,0,12,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,690000
5,FC Barcelona,Estanis,DL,4,0,1,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
