Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_23,J_24,J_25,J_26,J_27,Avg_last_5_games
5,FC Barcelona,Ter Stegen,PT,81,3.4,4290000,92,"['1', '1', '5', '9', '2']",1,1,5,9,2,3.6
5,FC Barcelona,Neto,PT,6,3,330000,8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Jordi Alba,DF,125,6.6,8690000,73,"['11', '10', '7', '-', '11']",11,10,7,0,11,7.8
5,FC Barcelona,Ronald Araujo,DF,113,5.4,7020000,62,"['11', '4', '5', '7', '4']",11,4,5,7,4,6.2
5,FC Barcelona,Piqué,DF,112,5.1,6290000,77,"['5', '-1', '-', '9', '6']",5,-1,0,9,6,3.8
5,FC Barcelona,Sergiño Dest,DF,78,4.3,2980000,58,"['4', '2', '0', '5', '3']",4,2,0,5,3,2.8
5,FC Barcelona,Eric García,DF,57,3.2,1960000,62,"['-', '1', '4', '-', '-']",0,1,4,0,0,1.0
5,FC Barcelona,Mingueza,DF,52,3.7,1110000,31,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
5,FC Barcelona,Lenglet,DF,33,2.8,820000,15,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Dani Alves,DF,28,7,6270000,15,"['5', '-', '-', '10', '5']",5,0,0,10,5,4.0
5,FC Barcelona,Umtiti,DF,4,4,400000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Alejandro Balde,DF,3,0.8,410000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Sergio Busquets,MD,145,5.8,8310000,96,"['3', '4', '5', '6', '10']",3,4,5,6,10,5.6
5,FC Barcelona,De Jong,MD,124,5.6,10330000,77,"['1', '5', '10', '6', '1']",1,5,10,6,1,4.6
5,FC Barcelona,Gavi,MD,89,4.2,8600000,73,"['11', '4', '6', '4', '2']",11,4,6,4,2,5.4
5,FC Barcelona,Nico González,MD,86,3.7,4180000,42,"['2', '4', '0', '2', '2']",2,4,0,2,2,2.0
5,FC Barcelona,Pedri,MD,47,5.9,13430000,27,"['2', '10', '7', '9', '3']",2,10,7,9,3,6.2
5,FC Barcelona,Sergi Roberto,MD,41,4.6,1150000,15,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Riqui Puig,MD,27,2.7,980000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Álvaro Sanz,MD,3,1.5,300000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Depay,DL,151,8.4,10170000,58,"['-', '-', '-', '10', '9']",0,0,0,10,9,3.8
5,FC Barcelona,Luuk de Jong,DL,76,5.1,4840000,23,"['-', '11', '4', '9', '-']",0,11,4,9,0,4.8
5,FC Barcelona,Dembélé,DL,74,7.4,11440000,23,"['-', '5', '8', '17', '4']",0,5,8,17,4,6.8
5,FC Barcelona,Abde Ezzalzouli,DL,44,4.4,3580000,23,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ansu Fati,DL,42,8.4,9960000,12,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Aubameyang,DL,40,8,22170000,12,"['2', '2', '20', '11', '5']",2,2,20,11,5,8.0
5,FC Barcelona,Adama Traoré,DL,27,5.4,18900000,12,"['6', '9', '2', '4', '6']",6,9,2,4,6,5.4
5,FC Barcelona,Ferrán Torres,DL,24,4,21450000,19,"['7', '2', '0', '2', '6']",7,2,0,2,6,3.4
5,FC Barcelona,Braithwaite,DL,22,7.3,2010000,12,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ferrán Jutglà,DL,21,4.2,1990000,15,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ilias Akhomach,DL,12,6,1120000,8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Estanis,DL,2,2,280000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
