Player,Matchs,Goals,Assists
Sergio Busquets,36,2,0
Marc-André t,35,0,0
Jordi Alba,30,2,10
Frenkie ,32,3,3
Gavi Paez,34,2,5
Ronald Araújo,30,4,0
Gerard Piqué,27,1,0
Eric García,26,0,0
Memphis Depay,28,12,2
Sergiño Dest,21,0,3
Ferrán Torres,18,4,4
Ousmane Dembélé,21,1,13
Dani Alves,14,1,3
Pierre-Emerick Aubameyang,17,11,1
Nicolás González,27,2,1
Pedri,12,3,1
Óscar Mingueza,19,0,1
Clément Lenglet,21,0,1
Luuk ,21,6,0
Abdessamad Ezzalzouli,10,1,0
Philippe Coutinho,12,2,0
Sergi Roberto,9,2,1
Adama Traoré,11,0,2
Jutglà,6,1,0
Ansu Fati,10,4,0
Neto,3,0,0
Antoine Griezmann,3,0,0
Martin Braithwaite,4,2,1
Riqui Puig,15,1,0
Yusuf Demir,6,0,0
Alejandro Balde,5,0,0
Sergio Agüero,4,1,0
Ilias Akhomach,2,0,0
Emerson,3,0,0
Samuel Umtiti,1,0,0
Alvaro Sanz,2,0,0
Estanis,1,0,0
Mika Màrmol,1,0,0
Lazar Carević,0,0,0
Arnau Comas,0,0,0
Lucas ,0,0,0
Guillem Jaime,0,0,0
Rey Manaj,0,0,0
Jandro Orellana,0,0,0
Iñaki Pe,0,0,0
Miralem Pjanić,0,0,0
Arnau Tenas,0,0,0
