Player,Matchs,Goals,Assists
David Soria,32,0,0
Nemanja Maksimović,30,1,2
Djené,29,0,1
Carles Aleñá,28,1,2
Damián Suárez,29,0,3
Mathías Olivera,27,1,3
Stefan Mitrović,28,1,0
Enes Ünal,31,15,0
Jorge Cuenca,27,1,0
Mauro Arambarri,25,0,5
Sandro Ramírez,24,3,0
Florentino Luís,17,0,1
Óscar Rodrígu,12,0,0
Borja Mayoral,12,4,1
Iglesias,17,0,1
Jakub Jankto,13,0,1
Erick Cabaco,10,0,1
Jaime Mata,22,1,0
Darío Poveda,15,1,0
David Timor,7,0,0
Allan Nyom,5,0,0
Gonzalo Villar,7,0,1
José Ju,7,0,0
Okay Yokuşlu,5,0,0
Jonathan Silva,9,0,0
Vitolo,7,0,0
Emmanuel Amankw,3,0,1
Chema,1,0,0
Marc Cucurella,1,0,0
Hugo Duro,1,0,0
Diego Conde,1,0,0
Ángel Algobia,0,0,0
Gastón Álvarez,0,0,0
Chinchu,0,0,0
John Joe,0,0,0
Diego López,0,0,0
Ignasi Miquel,0,0,0
Rubén Yáñez,0,0,0
