Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_26,J_27,J_28,J_29,J_30,Avg_last_5_games,Value
7,Granada CF,Luís Maximiano,PT,29,90,7,3,129,4.8,"['10', '-1', '2', '10', '2']",10,-1,2,10,2,4.6,3170000
7,Granada CF,Aarón Escandell,PT,26,10,0,0,12,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,420000
7,Granada CF,João Costa,PT,26,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000
7,Granada CF,Ángel Jiménez,PT,25,0,3,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
7,Granada CF,Germán Sánchez,DF,24,77,2,1,86,3.4,"['2', '2', '5', '1', '5']",2,2,5,1,5,3.0,1960000
7,Granada CF,Carlos Neva,DF,25,80,0,0,85,3.3,"['2', '0', '2', '1', '-']",2,0,2,1,0,1.0,1940000
7,Granada CF,Sergio Escudero,DF,26,27,5,1,61,3.1,"['-', '-', '-', '11', '5']",0,0,0,11,5,3.2,1100000
7,Granada CF,Quini,DF,19,70,0,1,59,2.4,"['3', '4', '8', '4', '2']",3,4,8,4,2,4.2,860000
7,Granada CF,Raúl Torrente,DF,28,47,8,4,46,3.1,"['6', '-1', '4', '-', '-']",6,-1,4,0,0,1.8,930000
7,Granada CF,Domingos Duarte,DF,17,40,0,0,39,2.8,"['-7', '-', '7', '2', '5']",-7,0,7,2,5,1.4,1280000
7,Granada CF,Víctor Díaz,DF,21,37,1,1,39,2.6,"['-', '-1', '-', '-', '-']",0,-1,0,0,0,-0.2,610000
7,Granada CF,Myrto Uzuni,DL,21,20,1,1,15,1.9,"['1', '6', '0', '1', '2']",1,6,0,1,2,2.0,1490000
7,Granada CF,Arias,DF,14,10,1,0,26,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,670000
7,Granada CF,Pepe Sánchez,DF,20,0,2,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
7,Granada CF,Sergio Barcia,DF,15,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
7,Granada CF,Neyder Lozano,DF,20,0,1,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
7,Granada CF,Luis Milla,MD,15,83,1,3,144,5.5,"['4', '4', '10', '4', '13']",4,4,10,4,13,7.0,7200000
7,Granada CF,Antonio Puertas,MD,14,60,0,0,96,3.7,"['5', '2', '2', '9', '3']",5,2,2,9,3,4.2,2040000
7,Granada CF,Darwin Machís,MD,14,40,0,0,85,4.3,"['5', '4', '2', '7', '10']",5,4,2,7,10,5.6,2830000
7,Granada CF,Montoro,MD,10,40,0,1,75,3.6,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,1140000
7,Granada CF,Gonalons,MD,8,60,0,0,71,3.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1170000
7,Granada CF,Rochina,MD,8,27,0,0,61,4.1,"['-', '1', '4', '-', '-']",0,1,4,0,0,1.0,1290000
7,Granada CF,Alberto Soro,MD,15,23,0,1,41,2.9,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,570000
7,Granada CF,Álex Collado,MD,8,23,0,0,30,3,"['2', '-', '2', '9', '1']",2,0,2,9,1,2.8,1310000
7,Granada CF,Petrovic,MD,8,13,1,0,21,2.6,"['2', '4', '6', '2', '1']",2,4,6,2,1,3.0,1410000
7,Granada CF,Raba,MD,4,0,0,0,21,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,500000
7,Granada CF,Isma Ruiz,MD,7,10,0,0,18,2.6,"['4', '-', '2', '-', '-']",4,0,2,0,0,1.2,310000
7,Granada CF,Yan Eteki,MD,2,3,0,0,13,1.6,"['-', '-', '-', '1', '2']",0,0,0,1,2,0.6,340000
7,Granada CF,Daniel Plomer,MD,8,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
7,Granada CF,Jorge Molina,DL,4,50,0,0,143,5.1,"['2', '2', '2', '10', '8']",2,2,2,10,8,4.8,3710000
7,Granada CF,Luis Javier Suárez,DL,1,93,0,0,136,4.5,"['2', '3', '1', '7', '2']",2,3,1,7,2,3.0,5380000
7,Granada CF,Bacca,DL,1,13,0,0,43,2.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1190000
7,Granada CF,Matías Arezo,DL,0,3,0,0,8,2,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,1330000
