Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_25,J_26,J_27,J_28,J_29,Avg_last_5_games
7,Granada CF,Luís Maximiano,PT,127,4.9,3410000,90,"['-1', '10', '-1', '2', '10']",-1,10,-1,2,10,4.0
7,Granada CF,Aarón Escandell,PT,12,3,450000,10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,João Costa,PT,0,0,180000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Ángel Jiménez,PT,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Carlos Neva,DF,85,3.3,2160000,83,"['2', '2', '0', '2', '1']",2,2,0,2,1,1.4
7,Granada CF,Germán Sánchez,DF,81,3.4,2060000,76,"['-1', '2', '2', '5', '1']",-1,2,2,5,1,1.8
7,Granada CF,Quini,DF,57,2.4,850000,69,"['1', '3', '4', '8', '4']",1,3,4,8,4,4.0
7,Granada CF,Sergio Escudero,DF,56,2.9,930000,24,"['-', '-', '-', '-', '11']",0,0,0,0,11,2.2
7,Granada CF,Raúl Torrente,DF,46,3.1,990000,48,"['3', '6', '-1', '4', '-']",3,6,-1,4,0,2.4
7,Granada CF,Víctor Díaz,DF,39,2.6,680000,38,"['-2', '-', '-1', '-', '-']",-2,0,-1,0,0,-0.6
7,Granada CF,Domingos Duarte,DF,34,2.6,1420000,38,"['-', '-7', '-', '7', '2']",0,-7,0,7,2,0.4
7,Granada CF,Arias,DF,26,3.3,750000,10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Pepe Sánchez,DF,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Sergio Barcia,DF,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Neyder Lozano,DF,0,0,300000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Luis Milla,MD,131,5.2,7020000,83,"['12', '4', '4', '10', '4']",12,4,4,10,4,6.8
7,Granada CF,Antonio Puertas,MD,93,3.7,2120000,59,"['5', '5', '2', '2', '9']",5,5,2,2,9,4.6
7,Granada CF,Darwin Machís,MD,75,3.9,2630000,41,"['-', '5', '4', '2', '7']",0,5,4,2,7,3.6
7,Granada CF,Montoro,MD,75,3.6,1240000,41,"['4', '-', '2', '-', '-']",4,0,2,0,0,1.2
7,Granada CF,Gonalons,MD,71,3.6,1340000,62,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
7,Granada CF,Rochina,MD,61,4.1,1540000,28,"['-', '-', '1', '4', '-']",0,0,1,4,0,1.0
7,Granada CF,Alberto Soro,MD,39,3,620000,24,"['1', '-', '-', '-', '2']",1,0,0,0,2,0.6
7,Granada CF,Álex Collado,MD,29,3.2,1150000,21,"['1', '2', '-', '2', '9']",1,2,0,2,9,2.8
7,Granada CF,Raba,MD,21,2.6,520000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Petrovic,MD,20,2.9,1500000,10,"['2', '2', '4', '6', '2']",2,2,4,6,2,3.2
7,Granada CF,Isma Ruiz,MD,18,2.6,320000,10,"['-', '4', '-', '2', '-']",0,4,0,2,0,1.2
7,Granada CF,Yan Eteki,MD,11,1.6,350000,3,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
7,Granada CF,Daniel Plomer,MD,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Jorge Molina,DL,135,5,4220000,48,"['3', '2', '2', '2', '10']",3,2,2,2,10,3.8
7,Granada CF,Luis Javier Suárez,DL,134,4.6,5300000,93,"['3', '2', '3', '1', '7']",3,2,3,1,7,3.2
7,Granada CF,Bacca,DL,43,2.9,1270000,14,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Myrto Uzuni,DL,13,1.9,1550000,21,"['-1', '1', '6', '0', '1']",-1,1,6,0,1,1.4
7,Granada CF,Matías Arezo,DL,6,2,1530000,3,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
