Player,Matchs,Goals,Assists
Luís Maximiano,28,0,0
Luis Javi,30,7,4
Luis Milla,27,3,3
Carlos Neva,26,0,0
Germán Sánchez,26,2,1
Quini,27,0,0
Antonio Puertas,27,5,1
Maxime Gonalons,19,0,1
Jorge Molina,30,8,4
Raúl Torrente,18,0,0
Domingos Duarte,16,1,0
Darwin Machís,22,3,2
Víctor Díaz,17,1,0
Ángel Montoro,22,1,1
Sergio Escudero,22,1,1
Rubén Rochina,15,1,3
Monchu,14,0,0
Myrto Uzuni,10,0,0
Alberto Soro,15,0,0
Álex Collado,11,1,1
Luis Abram,8,0,0
Njegoš Petrović,10,0,0
Carlos Bacca,15,0,1
Santiago Arias,8,1,0
Aarón Escandell,4,0,0
Isma Ruiz,8,0,0
Yan Bri,9,0,0
Dimitri Foulquier,2,0,0
Matias Arezo,6,0,0
Dani Raba,1,0,0
Adrián Butzke,1,0,0
Ángel,0,0,0
Barcia,0,0,0
Cheikh Ka,0,0,0
Pepe,0,0,0
Bry,0,0,0
