Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_23,J_24,J_25,J_26,J_27,Avg_last_5_games
10,Levante UD,Aitor Fernández,PT,50,3.8,1920000,48,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
10,Levante UD,Dani Cárdenas,PT,44,3.1,1170000,52,"['-', '3', '3', '8', '4']",0,3,3,8,4,3.6
10,Levante UD,Rúben Vezo,DF,80,3.8,1600000,74,"['2', '1', '-', '-', '-']",2,1,0,0,0,0.6
10,Levante UD,Óscar Duarte,DF,58,3.4,810000,59,"['1', '4', '6', '4', '2']",1,4,6,4,2,3.4
10,Levante UD,Son,DF,52,3.3,860000,48,"['2', '2', '4', '5', '2']",2,2,4,5,2,3.0
10,Levante UD,Clerc,DF,50,2.6,1000000,67,"['2', '-', '2', '-', '-']",2,0,2,0,0,0.8
10,Levante UD,Rober Pier,DF,48,2.8,950000,41,"['-', '2', '2', '6', '2']",0,2,2,6,2,2.4
10,Levante UD,Jorge Miramón,DF,47,2.5,760000,56,"['-', '2', '8', '5', '2']",0,2,8,5,2,3.4
10,Levante UD,Mustafi,DF,42,4.2,920000,30,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Enric Franquesa,DF,23,1.8,490000,19,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
10,Levante UD,Martín Cáceres,DF,14,2.3,1630000,19,"['4', '-1', '2', '2', '3']",4,-1,2,2,3,2.0
10,Levante UD,Sergio Postigo,DF,12,2,400000,15,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2
10,Levante UD,Coke,DF,10,2.5,310000,0,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
10,Levante UD,Marc Pubill,DF,8,1.6,490000,11,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8
10,Levante UD,Marcelo Saracchi,DF,0,0,320000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Jorge de Frutos,MD,100,4.2,3810000,70,"['4', '7', '2', '15', '11']",4,7,2,15,11,7.8
10,Levante UD,Bardhi,MD,92,4.4,3000000,48,"['4', '1', '4', '4', '2']",4,1,4,4,2,3.0
10,Levante UD,Melero,MD,80,4,3250000,52,"['4', '2', '1', '11', '2']",4,2,1,11,2,4.0
10,Levante UD,Mickael Malsa,MD,67,3.2,1260000,33,"['3', '2', '2', '5', '1']",3,2,2,5,1,2.6
10,Levante UD,Pepelu,MD,63,3.5,1260000,52,"['4', '4', '6', '5', '5']",4,4,6,5,5,4.8
10,Levante UD,Campaña,MD,61,4.7,4350000,44,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Alejandro Cantero,MD,35,2.1,530000,7,"['-', '-', '6', '-', '2']",0,0,6,0,2,1.6
10,Levante UD,Radoja,MD,32,2.9,880000,33,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8
10,Levante UD,Vukcevic,MD,15,2.5,400000,0,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
10,Levante UD,Giorgi Kochorashvili,MD,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Edgar Sevikyan,MD,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Morales,DL,96,3.8,5730000,78,"['-', '5', '1', '11', '2']",0,5,1,11,2,3.8
10,Levante UD,Roger,DL,87,4.1,4270000,70,"['3', '-', '7', '3', '2']",3,0,7,3,2,3.0
10,Levante UD,Dani Gómez,DL,53,2.8,930000,22,"['2', '15', '0', '6', '2']",2,15,0,6,2,5.0
10,Levante UD,Soldado,DL,26,2,1330000,26,"['-', '-10', '-', '-', '-']",0,-10,0,0,0,-2.0
