Player,Matchs,Goals,Assists
José Lu,27,9,1
Roger Martí,24,5,3
Rúben Vezo,24,0,0
Jorge ,25,4,7
Carlos Clerc,19,0,0
Cárdenas,17,0,0
Óscar Duarte,18,0,0
José Lu,21,0,0
Jorge Miramón,21,0,0
Gonzalo Melero,22,3,2
Son,19,1,0
Enis Bardhi,23,3,2
Rober,20,1,0
Aitor Fernández,13,0,0
José Campaña,15,2,0
Mickael Malsa,23,0,2
Nemanja Radoja,12,0,0
Shkodran Mustafi,11,1,0
Martín Cáceres,9,0,0
Pablo Martínez,13,0,1
Roberto Soldado,14,1,2
Dani Gómez,21,3,2
Enric Franquesa,16,0,0
Sergio Postigo,7,0,0
Pubill,7,0,0
Álex Cantero,19,0,1
Nikola Vukčević,6,0,0
Coke,4,0,0
Carlos Benitez,0,0,0
Alejandro Blesa,0,0,0
Pablo Cuñat,0,0,0
Omar Faraj,0,0,0
Hernâni Fortes,0,0,0
Joseda,0,0,0
Antonio Leal,0,0,0
José Manuel,0,0,0
Marcelo Saracchi,0,0,0
Koke Vegas,0,0,0
