Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_32,J_33,J_34,J_35,J_36,Avg_last_5_games,Value
19,RC Celta de Vigo,Matías Dituro,PT,36,100,0,0,172,4.8,"['1', '5', '7', '6', '-1']",1,5,7,6,-1,3.6,3940000
19,RC Celta de Vigo,Rubén Blanco,PT,35,0,0,3,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
19,RC Celta de Vigo,Javi Galán,DF,35,97,17,4,151,4.3,"['3', '6', '2', '10', '2']",3,6,2,10,2,4.6,4480000
19,RC Celta de Vigo,Aidoo,DF,35,78,4,5,107,3.6,"['4', '8', '4', '4', '4']",4,8,4,4,4,4.8,2060000
19,RC Celta de Vigo,Néstor Araujo,DF,36,75,3,5,100,3.1,"['5', '4', '2', '5', '2']",5,4,2,5,2,3.6,1370000
19,RC Celta de Vigo,Hugo Mallo,DF,36,58,1,0,87,4.1,"['-', '13', '-', '-', '-']",0,13,0,0,0,2.6,2270000
19,RC Celta de Vigo,Kevin Vázquez,DF,33,39,7,3,67,4.5,"['2', '-', '4', '8', '1']",2,0,4,8,1,3.0,1670000
19,RC Celta de Vigo,Jeison Murillo,DF,30,33,0,0,45,2.5,"['-', '-', '-', '-', '-10']",0,0,0,0,-10,-2.0,800000
19,RC Celta de Vigo,Carlos Domínguez,DF,32,8,0,0,21,3,"['-', '-', '1', '-', '-']",0,0,1,0,0,0.2,290000
19,RC Celta de Vigo,José Fontán,DF,21,8,1,1,15,2.1,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,350000
19,RC Celta de Vigo,Denis Suárez,MD,33,86,4,3,177,4.9,"['4', '3', '6', '12', '4']",4,3,6,12,4,5.8,5660000
19,RC Celta de Vigo,Brais Méndez,MD,31,94,2,0,153,4.4,"['2', '4', '2', '0', '4']",2,4,2,0,4,2.4,4690000
19,RC Celta de Vigo,Fran Beltrán,MD,15,83,0,1,152,4.2,"['4', '3', '1', '5', '1']",4,3,1,5,1,2.8,3770000
19,RC Celta de Vigo,Franco Cervi,MD,28,58,0,0,146,4.4,"['2', '7', '6', '12', '5']",2,7,6,12,5,6.4,3560000
19,RC Celta de Vigo,Nolito,MD,18,39,0,0,87,2.8,"['3', '4', '4', '5', '-']",3,4,4,5,0,3.2,1710000
19,RC Celta de Vigo,Renato Tapia,MD,29,36,2,2,82,2.9,"['-', '2', '2', '2', '3']",0,2,2,2,3,1.8,1090000
19,RC Celta de Vigo,Augusto Solari,MD,7,6,0,0,43,1.8,"['2', '1', '-', '5', '-']",2,1,0,5,0,1.6,380000
19,RC Celta de Vigo,Orbelín Pineda,MD,7,0,0,0,2,2,"['2', '-', '-', '4', '-']",2,0,0,4,0,1.2,940000
19,RC Celta de Vigo,Gabriel Veiga,MD,24,0,0,0,7,1.4,"['-', '-', '-2', '2', '3']",0,0,-2,2,3,0.6,250000
19,RC Celta de Vigo,Hugo Álvarez,MD,8,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
19,RC Celta de Vigo,Holsgrove,MD,6,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
19,RC Celta de Vigo,Alfonso González,MD,5,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
19,RC Celta de Vigo,Iago Aspas,DL,1,94,0,0,274,7.8,"['2', '7', '10', '19', '11']",2,7,10,19,11,9.8,15340000
19,RC Celta de Vigo,Santi Mina,DL,1,83,0,0,161,4.9,"['4', '10', '6', '-', '-']",4,10,6,0,0,4.0,5550000
19,RC Celta de Vigo,Thiago Galhardo,DL,1,19,0,0,98,3.4,"['3', '4', '2', '10', '10']",3,4,2,10,10,5.8,2770000
19,RC Celta de Vigo,Íker Losada,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000
19,RC Celta de Vigo,Miguel Rodríguez,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
19,RC Celta de Vigo,Lautaro de León,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
