Player,Matchs,Goals,Assists
Matías Dituro,36,0,0
Javi Galán,35,0,3
Iago Aspas,35,17,4
Brais Méndez,35,4,5
Denis Suárez,36,3,5
Fran Beltrán,36,1,0
Santi Mina,33,7,3
Joseph Aidoo,30,0,0
Néstor Araujo,32,0,0
Hugo Mallo,21,1,1
Franco Cervi,33,4,3
Nolito,31,2,0
Kevin Vázquez,15,0,1
Renato Tapia,28,0,0
Jeison Murillo,18,0,0
Thiago Galhardo,29,2,2
Carlos Dominguez,7,0,0
José Fontán,7,0,0
Augusto Solari,24,0,0
Okay Yokuşlu,8,0,0
Orbelín Pineda,6,0,0
Gabriel Veiga,5,0,0
Hugo Álvarez,1,0,0
Miguel Baeza,1,0,0
Hugo Sotelo,1,0,0
Alfon,0,0,0
Rubén Blanco,0,0,0
Gaizka Camp,0,0,0
Coke Carrillo,0,0,0
Thomas Carrique,0,0,0
Javier Castro,0,0,0
César Fernández,0,0,0
Fernando Medrano,0,0,0
