Player,Matchs,Goals,Assists
Leandro Cabrera,27,2,0
Diego López,27,0,0
Raúl ,26,13,3
Pedrosa,26,1,1
Sergi Darder,26,3,6
Sergi Gómez,25,1,2
Adri Embarba,25,0,2
Javi Puado,21,4,1
Aleix Vidal,22,2,0
Óscar Gil,18,0,2
Keidi Bare,20,1,1
Yangel Herrera,15,1,1
Óscar Melendo,14,0,0
Manu Morlanes,22,2,0
David López,13,0,0
Tonny Vilhena,7,1,1
Nico Ribaudo,25,1,0
Fernando Calero,7,0,0
Landry Dimata,16,0,0
Loren Morón,18,1,0
Wu Lei,16,0,0
Fran Mérida,7,0,0
Dídac Vilà,5,0,0
Joan García,2,0,0
Miguel Ju,2,0,0
Lluís Recasens,1,0,0
Rubén,2,0,0
Jofre,2,0,1
Gori,1,0,0
Álvaro Vadillo,3,0,0
Victor Perea,1,0,0
Álvaro García,0,0,0
Aleix Gorjon,0,0,0
Roger Martínez,0,0,0
Oier Olazábal,0,0,0
Daniel Villahermosa,0,0,0
