Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_16,J_17,J_18,J_19,J_20,Avg_last_5_games,Value
11,RCD Mallorca,Reina,PT,18,90,0,0,68,3.8,"['11', '-2', '-', '3', '-']",11,-2,0,3,0,2.4,2600000
11,RCD Mallorca,Greif,PT,1,5,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
11,RCD Mallorca,Maffeo,DF,18,90,1,1,85,4.7,"['4', '2', '-', '1', '4']",4,2,0,1,4,2.2,4140000
11,RCD Mallorca,Martin Valjent,DF,19,95,0,0,65,3.4,"['3', '1', '-', '2', '-']",3,1,0,2,0,1.2,1940000
11,RCD Mallorca,Franco Russo,DF,14,70,1,0,58,4.1,"['3', '-', '-', '2', '1']",3,0,0,2,1,1.2,1460000
11,RCD Mallorca,Brian Oliván,DF,15,60,1,0,48,3.2,"['-', '1', '-', '-', '0']",0,1,0,0,0,0.2,1650000
11,RCD Mallorca,Jaume Costa,DF,13,50,0,1,41,3.2,"['8', '7', '-', '2', '6']",8,7,0,2,6,4.6,1590000
11,RCD Mallorca,Sedlar,DF,9,15,0,0,13,1.4,"['-', '2', '-', '-', '3']",0,2,0,0,3,1.0,340000
11,RCD Mallorca,Dani Rodríguez,MD,18,90,3,2,85,4.7,"['4', '9', '-', '9', '-']",4,9,0,9,0,4.4,5250000
11,RCD Mallorca,Idrissu Baba,MD,17,75,2,0,80,4.7,"['-', '2', '-', '2', '-']",0,2,0,2,0,0.8,4550000
11,RCD Mallorca,Salva Sevilla,MD,11,30,1,2,55,5,"['-', '1', '-', '-', '1']",0,1,0,0,1,0.4,2830000
11,RCD Mallorca,Kubo,MD,11,35,1,0,41,3.7,"['2', '4', '-', '-', '4']",2,4,0,0,4,2.0,3140000
11,RCD Mallorca,Amath Ndiaye,MD,12,30,0,1,34,2.8,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,680000
11,RCD Mallorca,Rodrigo Battaglia,MD,14,30,0,0,30,2.1,"['8', '-', '-', '6', '1']",8,0,0,6,1,3.0,930000
11,RCD Mallorca,Antonio Sánchez,MD,11,40,1,0,29,2.6,"['2', '1', '-', '4', '2']",2,1,0,4,2,1.8,740000
11,RCD Mallorca,Mboula,MD,11,25,0,0,20,1.8,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,490000
11,RCD Mallorca,Javi Llabres,MD,2,5,0,0,6,3,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2,230000
11,RCD Mallorca,Fernando Niño,DL,16,35,2,0,59,3.7,"['-', '1', '-', '4', '8']",0,1,0,4,8,2.6,3080000
11,RCD Mallorca,Ángel Rodríguez,DL,14,45,1,2,55,3.9,"['3', '1', '-', '2', '-']",3,1,0,2,0,1.2,3180000
11,RCD Mallorca,Abdón Prats,DL,14,15,1,0,42,3,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,870000
11,RCD Mallorca,Hoppe,DL,3,5,0,1,6,2,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,550000
