Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_24,J_25,J_26,J_27,J_28,Avg_last_5_games
11,RCD Mallorca,Reina,PT,68,3.8,1330000,64,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Sergio Rico,PT,13,1.9,2380000,25,"['0', '2', '4', '2', '0']",0,2,4,2,0,1.6
11,RCD Mallorca,Leo Román,PT,8,4,310000,7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Greif,PT,0,0,270000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Maffeo,DF,114,4.4,3100000,93,"['1', '6', '5', '1', '5']",1,6,5,1,5,3.6
11,RCD Mallorca,Martin Valjent,DF,88,3.3,1910000,96,"['3', '4', '1', '0', '1']",3,4,1,0,1,1.8
11,RCD Mallorca,Brian Oliván,DF,65,3.4,1200000,57,"['2', '-', '-', '-', '6']",2,0,0,0,6,1.6
11,RCD Mallorca,Jaume Costa,DF,60,3.3,1580000,50,"['2', '9', '3', '3', '-']",2,9,3,3,0,3.4
11,RCD Mallorca,Franco Russo,DF,54,3.6,950000,54,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Raíllo,DF,27,3.4,1880000,29,"['3', '3', '4', '3', '2']",3,3,4,3,2,3.0
11,RCD Mallorca,Giovanni González,DF,17,4.3,790000,4,"['2', '-', '4', '7', '-']",2,0,4,7,0,2.6
11,RCD Mallorca,Sedlar,DF,16,1.6,390000,11,"['-', '-', '3', '-', '-']",0,0,3,0,0,0.6
11,RCD Mallorca,Josep Gayá,DF,-2,-2,260000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Dani Rodríguez,MD,112,4.3,4940000,93,"['2', '6', '-1', '3', '5']",2,6,-1,3,5,3.0
11,RCD Mallorca,Salva Sevilla,MD,99,5.2,4020000,39,"['8', '4', '7', '9', '2']",8,4,7,9,2,6.0
11,RCD Mallorca,Ruiz de Galarreta,MD,91,4.1,2530000,61,"['-', '-', '-', '5', '2']",0,0,0,5,2,1.4
11,RCD Mallorca,Idrissu Baba,MD,91,4.6,3370000,61,"['4', '6', '-', '-', '-']",4,6,0,0,0,2.0
11,RCD Mallorca,Kubo,MD,80,4.2,3240000,54,"['5', '3', '11', '2', '1']",5,3,11,2,1,4.4
11,RCD Mallorca,Kang-In Lee,MD,68,3.1,2000000,46,"['4', '1', '4', '4', '4']",4,1,4,4,4,3.4
11,RCD Mallorca,Antonio Sánchez,MD,61,3.2,1380000,43,"['4', '5', '4', '3', '3']",4,5,4,3,3,3.8
11,RCD Mallorca,Amath Ndiaye,MD,42,2.3,710000,29,"['-', '1', '2', '-', '2']",0,1,2,0,2,1.0
11,RCD Mallorca,Rodrigo Battaglia,MD,36,1.9,880000,25,"['1', '-2', '-', '2', '-']",1,-2,0,2,0,0.2
11,RCD Mallorca,Javi Llabres,MD,10,3.3,280000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
11,RCD Mallorca,Grenier,MD,2,2,630000,0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
11,RCD Mallorca,Ángel Rodríguez,DL,73,3.5,2800000,50,"['8', '2', '0', '3', '1']",8,2,0,3,1,2.8
11,RCD Mallorca,Fernando Niño,DL,65,3.4,2060000,25,"['-', '3', '-', '2', '-']",0,3,0,2,0,1.0
11,RCD Mallorca,Abdón Prats,DL,50,2.8,680000,14,"['-', '-', '2', '-', '2']",0,0,2,0,2,0.8
11,RCD Mallorca,Muriqi,DL,42,6,5710000,25,"['9', '9', '4', '2', '3']",9,9,4,2,3,5.4
11,RCD Mallorca,Hoppe,DL,7,1.8,460000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
