Player,Matchs,Goals,Assists
Martin Valjent,28,0,0
Dani Rodríguez,28,3,2
Pablo Maffeo,27,1,1
Iddrisu Baba,22,2,0
Manolo Reina,18,0,0
Brian Oliván,20,1,0
Iñigo Ru,22,0,0
Franco Russo,16,1,0
Jaume Costa,19,0,3
Takefusa Kubo,21,1,0
Ángel Rodríguez,23,2,2
Lee Kangin,24,1,2
Antonio Sánchez,21,1,0
Salva Sevilla,21,4,2
Antonio Raillo,9,0,0
Sergio Rico,9,0,0
Vedat Muriqi,9,2,1
Amath,18,0,1
Fernando Niño,21,2,0
Rodrigo Battaglia,20,0,0
Jordi Mboula,11,0,0
Abdón Prats,19,1,0
Aleksandar Sedlar,10,0,0
Giovanni González,6,1,0
Joan Sast,7,0,0
Leonardo Román,2,0,0
Lago Junior,6,0,0
Matthew Hoppe,4,0,1
Javi,4,0,0
Aleix Febas,4,0,0
Dominik Greif,1,0,0
Josep Anto,1,0,0
Clément Grenier,1,0,0
Marc Carmo,0,0,0
Marcos Fernánd,0,0,0
Pablo Gálvez,0,0,0
Tomás Giaquinto,0,0,0
Pere Joan,0,0,0
Miguelito,0,0,0
Victor Mollejo,0,0,0
Ferrán Quetglas,0,0,0
