Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
9,Rayo Vallecano de Madrid,Dimitrievski,PT,18,89,0,0,101,5.6,"['8', '4', '11', '-', '-']",8,4,11,0,0,4.6,3740000
9,Rayo Vallecano de Madrid,Iván Arboleda,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
9,Rayo Vallecano de Madrid,Luca Zidane,PT,2,11,0,0,-8,-4,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,450000
9,Rayo Vallecano de Madrid,Catena,DF,18,95,1,1,88,4.9,"['6', '2', '12', '-', '-']",6,2,12,0,0,4.0,3390000
9,Rayo Vallecano de Madrid,Álvaro García,MD,18,89,5,2,106,5.9,"['7', '6', '7', '-', '-']",7,6,7,0,0,4.0,8530000
9,Rayo Vallecano de Madrid,Balliu,DF,18,95,0,1,58,3.2,"['4', '5', '5', '-', '0']",4,5,5,0,0,2.8,1850000
9,Rayo Vallecano de Madrid,Saveljich,DF,15,79,0,0,50,3.3,"['5', '2', '5', '-', '5']",5,2,5,0,5,3.4,1560000
9,Rayo Vallecano de Madrid,Nikola Maras,DF,6,21,0,0,18,3,"['-', '-', '-', '-', '6']",0,0,0,0,6,1.2,510000
9,Rayo Vallecano de Madrid,Mario Hernández,DF,2,11,1,0,12,6,"['2', '-', '-', '-', '1']",2,0,0,0,1,0.6,300000
9,Rayo Vallecano de Madrid,Kevin Rodrigues,DF,7,5,0,0,12,1.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
9,Rayo Vallecano de Madrid,Trejo,MD,17,79,3,8,106,6.2,"['2', '3', '5', '-', '5']",2,3,5,0,5,3.0,9590000
9,Rayo Vallecano de Madrid,Comesaña,MD,18,84,1,2,86,4.8,"['-', '-1', '7', '-', '2']",0,-1,7,0,2,1.6,5370000
9,Rayo Vallecano de Madrid,Óscar Valentín,MD,17,68,0,0,68,4,"['5', '7', '5', '-', '5']",5,7,5,0,5,4.4,2810000
9,Rayo Vallecano de Madrid,Bebé,MD,15,5,0,2,57,3.8,"['-', '4', '5', '-', '2']",0,4,5,0,2,2.2,2150000
9,Rayo Vallecano de Madrid,Pathé Ciss,MD,14,32,1,1,54,3.9,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,2410000
9,Rayo Vallecano de Madrid,Unai López,MD,16,37,0,0,48,3,"['2', '5', '1', '-', '1']",2,5,1,0,1,1.8,1610000
9,Rayo Vallecano de Madrid,Merquelanz,MD,4,16,0,0,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1030000
9,Rayo Vallecano de Madrid,Mario Suárez,MD,3,5,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,460000
9,Rayo Vallecano de Madrid,Álvaro Aguirre,MD,1,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,210000
9,Rayo Vallecano de Madrid,Randy Nteka,DL,16,32,3,0,62,3.9,"['2', '-', '-', '-', '3']",2,0,0,0,3,1.0,3600000
9,Rayo Vallecano de Madrid,Falcao,DL,11,21,5,0,62,5.6,"['1', '2', '2', '-', '-']",1,2,2,0,0,1.0,9160000
9,Rayo Vallecano de Madrid,Sergi Guardiola,DL,14,42,3,2,52,3.7,"['2', '3', '10', '-', '1']",2,3,10,0,1,3.2,3730000
9,Rayo Vallecano de Madrid,Andrés Martín,DL,7,5,0,0,10,1.4,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,280000
9,Rayo Vallecano de Madrid,Yacine Qasmi,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,600000
9,Rayo Vallecano de Madrid,Sergio Moreno,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
