Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_24,J_25,J_26,J_27,J_28,Avg_last_5_games
9,Rayo Vallecano de Madrid,Dimitrievski,PT,101,4.8,3060000,74,"['-2', '-', '-', '-', '3']",-2,0,0,0,3,0.2
9,Rayo Vallecano de Madrid,Luca Zidane,PT,11,1.6,700000,26,"['-', '2', '7', '2', '-']",0,2,7,2,0,2.2
9,Rayo Vallecano de Madrid,Catena,DF,117,4.7,3570000,93,"['2', '0', '6', '-', '4']",2,0,6,0,4,2.4
9,Rayo Vallecano de Madrid,Fran García,DF,98,3.9,3100000,93,"['-', '11', '3', '1', '1']",0,11,3,1,1,3.2
9,Rayo Vallecano de Madrid,Balliu,DF,95,3.7,2190000,96,"['2', '0', '4', '2', '5']",2,0,4,2,5,2.6
9,Rayo Vallecano de Madrid,Saveljich,DF,69,3.3,1430000,78,"['2', '3', '-', '2', '-']",2,3,0,2,0,1.4
9,Rayo Vallecano de Madrid,Nikola Maras,DF,22,3.1,400000,15,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8
9,Rayo Vallecano de Madrid,Kevin Rodrigues,DF,19,2.1,470000,11,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6
9,Rayo Vallecano de Madrid,Mario Hernández,DF,15,5,290000,7,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6
9,Rayo Vallecano de Madrid,Álvaro García,MD,139,5.6,7160000,85,"['2', '4', '4', '8', '-']",2,4,4,8,0,3.6
9,Rayo Vallecano de Madrid,Trejo,MD,133,5.3,7370000,74,"['2', '3', '1', '1', '6']",2,3,1,1,6,2.6
9,Rayo Vallecano de Madrid,Comesaña,MD,121,4.7,4590000,89,"['4', '2', '2', '3', '6']",4,2,2,3,6,3.4
9,Rayo Vallecano de Madrid,Óscar Valentín,MD,93,3.9,2240000,70,"['2', '4', '4', '3', '5']",2,4,4,3,5,3.6
9,Rayo Vallecano de Madrid,Isi Palazón,MD,89,3.4,3140000,74,"['1', '3', '1', '2', '-']",1,3,1,2,0,1.4
9,Rayo Vallecano de Madrid,Bebé,MD,89,4,2130000,11,"['3', '2', '2', '5', '11']",3,2,2,5,11,4.6
9,Rayo Vallecano de Madrid,Pathé Ciss,MD,74,3.4,1980000,33,"['2', '2', '2', '2', '2']",2,2,2,2,2,2.0
9,Rayo Vallecano de Madrid,Unai López,MD,56,3.1,1340000,30,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
9,Rayo Vallecano de Madrid,Mario Suárez,MD,15,2.1,1030000,15,"['-', '1', '5', '4', '2']",0,1,5,4,2,2.4
9,Rayo Vallecano de Madrid,Merquelanz,MD,13,3.3,570000,11,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
9,Rayo Vallecano de Madrid,Álvaro Aguirre,MD,2,2,220000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
9,Rayo Vallecano de Madrid,Sergi Guardiola,DL,81,3.7,3670000,44,"['3', '5', '6', '2', '2']",3,5,6,2,2,3.6
9,Rayo Vallecano de Madrid,Randy Nteka,DL,79,3.4,2150000,37,"['6', '2', '2', '-', '-']",6,2,2,0,0,2.0
9,Rayo Vallecano de Madrid,Falcao,DL,79,4.6,5530000,26,"['6', '-', '2', '2', '1']",6,0,2,2,1,2.2
9,Rayo Vallecano de Madrid,Mamadou Sylla,DL,41,2.2,800000,19,"['2', '2', '2', '2', '2']",2,2,2,2,2,2.0
