Player,Matchs,Goals,Assists
Iván Balliu,25,1,1
Catena,24,1,1
Francisco Garcia,24,1,0
Álvaro García,25,5,2
Santi Comesaña,25,1,2
Esteban Saveljich,21,0,0
Isaac Palaz,26,2,1
Stole Dimitrievski,20,0,0
Óscar Trejo,24,3,9
Óscar Valentín,23,0,0
Sergi Guardiola,21,3,2
Randy Ntekja,22,3,0
Pathé Ciss,21,1,1
Unai López,18,0,0
Radamel Falcao,17,5,0
Luca Zidane,7,0,0
Nikola Maraš,7,0,0
Mario Suárez,6,0,0
Kévin Rodrigues,9,0,0
Martín Merquelanz,4,0,0
Bebé,21,0,2
Mario Hernández,2,1,0
Andrés Martín,7,0,0
Mamadou Sylla,5,0,0
José Pozo,5,0,0
Álvaro Aguirre,1,0,0
Yacine Qasmi,1,0,0
Iván Arboleda,0,0,0
Jorge Moreno,0,0,0
Sergio Moreno,0,0,0
Morro,0,0,0
Manuel Navarro,0,0,0
Adrian Quintela,0,0,0
Iker Recio,0,0,0
