Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_31,J_32,J_33,J_34,J_35,Avg_last_5_games,Value
2,Real Betis Balompié,Rui Silva,PT,31,51,6,8,71,3.7,"['-', '1', '-', '-', '2']",0,1,0,0,2,0.6,1200000
2,Real Betis Balompié,Claudio Bravo,PT,31,49,4,6,61,3.6,"['9', '-', '6', '7', '2']",9,0,6,7,2,4.8,830000
2,Real Betis Balompié,Joel Robles,PT,29,0,1,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,190000
2,Real Betis Balompié,Álex Moreno,DF,27,71,5,3,127,4.7,"['8', '3', '-', '3', '0']",8,3,0,3,0,2.8,5190000
2,Real Betis Balompié,Marc Bartra,DF,30,60,14,3,99,4.7,"['7', '5', '-', '-', '11']",7,5,0,0,11,4.6,2610000
2,Real Betis Balompié,Héctor Bellerín,DF,22,60,0,2,88,4,"['5', '-', '5', '-', '-']",5,0,5,0,0,2.0,3060000
2,Real Betis Balompié,Édgar González,DF,21,37,1,0,86,4.5,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,1610000
2,Real Betis Balompié,Pezzella,DF,20,54,1,0,83,4.2,"['6', '6', '8', '7', '3']",6,6,8,7,3,6.0,2030000
2,Real Betis Balompié,Víctor Ruiz,DF,19,49,0,0,71,3.9,"['-', '-', '-', '8', '-']",0,0,0,8,0,1.6,980000
2,Real Betis Balompié,Juan Miranda,DF,30,26,2,3,51,4.6,"['-', '6', '6', '-', '-']",0,6,6,0,0,2.4,760000
2,Real Betis Balompié,Sabaly,DF,29,20,8,4,27,3.4,"['-', '4', '-', '7', '3']",0,4,0,7,3,2.8,910000
2,Real Betis Balompié,Martín Montoya,DF,17,17,0,0,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,570000
2,Real Betis Balompié,Kike Hermoso,DF,30,3,9,0,13,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,310000
2,Real Betis Balompié,Fekir,MD,18,86,0,0,208,6.7,"['7', '7', '10', '5', '8']",7,7,10,5,8,7.4,13950000
2,Real Betis Balompié,Canales,MD,26,86,0,1,179,5.8,"['8', '5', '15', '8', '-1']",8,5,15,8,-1,7.0,12020000
2,Real Betis Balompié,Guido Rodríguez,MD,19,74,1,1,136,4.7,"['4', '-', '4', '7', '6']",4,0,4,7,6,4.2,3950000
2,Real Betis Balompié,William Carvalho,MD,19,51,0,0,135,4.5,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6,6260000
2,Real Betis Balompié,Guardado,MD,18,46,1,1,79,3,"['-', '4', '7', '-', '6']",0,4,7,0,6,3.4,980000
2,Real Betis Balompié,Tello,MD,11,14,0,1,75,3.4,"['-', '1', '-', '2', '-']",0,1,0,2,0,0.6,1310000
2,Real Betis Balompié,Rodrigo Sánchez,MD,8,26,0,1,61,3.4,"['-', '-', '3', '-', '1']",0,0,3,0,1,0.8,760000
2,Real Betis Balompié,Joaquín,MD,6,6,0,1,54,3,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,1120000
2,Real Betis Balompié,Aitor Ruibal,MD,8,26,0,0,41,2.2,"['2', '-', '-', '2', '-']",2,0,0,2,0,0.8,710000
2,Real Betis Balompié,Paul Akouokou,MD,22,17,2,2,23,2.9,"['-', '0', '-', '-', '-']",0,0,0,0,0,0.0,400000
2,Real Betis Balompié,Camarasa,MD,18,0,0,1,16,2.3,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,260000
2,Real Betis Balompié,Diego Lainez,MD,7,3,0,0,11,1.6,"['-', '-', '4', '3', '-']",0,0,4,3,0,1.4,370000
2,Real Betis Balompié,Yassin Fekir,MD,4,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
2,Real Betis Balompié,Juanmi Jiménez,DL,1,69,1,0,182,6.1,"['3', '7', '8', '2', '1']",3,7,8,2,1,4.2,12440000
2,Real Betis Balompié,Willian José,DL,7,49,0,0,129,4.4,"['2', '5', '2', '2', '-']",2,5,2,2,0,2.2,6020000
2,Real Betis Balompié,Borja Iglesias,DL,1,49,0,0,128,4.3,"['3', '2', '17', '2', '3']",3,2,17,2,3,5.4,8970000
2,Real Betis Balompié,Raúl García de Haro,DL,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
