Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_31,J_32,J_33,J_34,J_35,Avg_last_5_games
2,Real Betis Balompié,Rui Silva,PT,71,3.7,1200000,51,"['-', '1', '-', '-', '2']",0,1,0,0,2,0.6
2,Real Betis Balompié,Claudio Bravo,PT,61,3.6,830000,49,"['9', '-', '6', '7', '2']",9,0,6,7,2,4.8
2,Real Betis Balompié,Joel Robles,PT,0,0,190000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Álex Moreno,DF,127,4.7,5190000,71,"['8', '3', '-', '3', '0']",8,3,0,3,0,2.8
2,Real Betis Balompié,Marc Bartra,DF,99,4.7,2610000,60,"['7', '5', '-', '-', '11']",7,5,0,0,11,4.6
2,Real Betis Balompié,Héctor Bellerín,DF,88,4,3060000,60,"['5', '-', '5', '-', '-']",5,0,5,0,0,2.0
2,Real Betis Balompié,Édgar González,DF,86,4.5,1610000,37,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0
2,Real Betis Balompié,Pezzella,DF,83,4.2,2030000,54,"['6', '6', '8', '7', '3']",6,6,8,7,3,6.0
2,Real Betis Balompié,Víctor Ruiz,DF,71,3.9,980000,49,"['-', '-', '-', '8', '-']",0,0,0,8,0,1.6
2,Real Betis Balompié,Juan Miranda,DF,51,4.6,760000,26,"['-', '6', '6', '-', '-']",0,6,6,0,0,2.4
2,Real Betis Balompié,Sabaly,DF,27,3.4,910000,20,"['-', '4', '-', '7', '3']",0,4,0,7,3,2.8
2,Real Betis Balompié,Martín Montoya,DF,26,4.3,570000,17,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Kike Hermoso,DF,13,13,310000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Fekir,MD,208,6.7,13950000,86,"['7', '7', '10', '5', '8']",7,7,10,5,8,7.4
2,Real Betis Balompié,Canales,MD,179,5.8,12020000,86,"['8', '5', '15', '8', '-1']",8,5,15,8,-1,7.0
2,Real Betis Balompié,Guido Rodríguez,MD,136,4.7,3950000,74,"['4', '-', '4', '7', '6']",4,0,4,7,6,4.2
2,Real Betis Balompié,William Carvalho,MD,135,4.5,6260000,51,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6
2,Real Betis Balompié,Guardado,MD,79,3,980000,46,"['-', '4', '7', '-', '6']",0,4,7,0,6,3.4
2,Real Betis Balompié,Tello,MD,75,3.4,1310000,14,"['-', '1', '-', '2', '-']",0,1,0,2,0,0.6
2,Real Betis Balompié,Rodrigo Sánchez,MD,61,3.4,760000,26,"['-', '-', '3', '-', '1']",0,0,3,0,1,0.8
2,Real Betis Balompié,Joaquín,MD,54,3,1120000,6,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2
2,Real Betis Balompié,Aitor Ruibal,MD,41,2.2,710000,26,"['2', '-', '-', '2', '-']",2,0,0,2,0,0.8
2,Real Betis Balompié,Paul Akouokou,MD,23,2.9,400000,17,"['-', '0', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Camarasa,MD,16,2.3,260000,0,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
2,Real Betis Balompié,Diego Lainez,MD,11,1.6,370000,3,"['-', '-', '4', '3', '-']",0,0,4,3,0,1.4
2,Real Betis Balompié,Yassin Fekir,MD,0,0,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Juanmi Jiménez,DL,182,6.1,12440000,69,"['3', '7', '8', '2', '1']",3,7,8,2,1,4.2
2,Real Betis Balompié,Willian José,DL,129,4.4,6020000,49,"['2', '5', '2', '2', '-']",2,5,2,2,0,2.2
2,Real Betis Balompié,Borja Iglesias,DL,128,4.3,8970000,49,"['3', '2', '17', '2', '3']",3,2,17,2,3,5.4
2,Real Betis Balompié,Raúl García de Haro,DL,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
