Player,Matchs,Goals,Assists
Nabil Fekir,27,6,7
Sergio Canales,27,4,6
Guido Rodríguez,26,1,2
Álex Moreno,23,5,3
Juanmi,26,14,3
Héctor Bellerín,21,0,2
Marc Bartra,18,0,0
William Carvalho,27,2,3
Rui Silva,17,0,0
Willian José,26,8,4
Víctor Ruiz,17,0,0
Germán Pezzella,16,1,0
Claudio Bravo,14,0,0
Borja Iglesias,26,9,0
Andrés Guardado,24,0,1
Édgar González,19,1,1
Rodrigo,17,1,1
Aitor Ruibal,17,0,0
Juan Miranda,10,0,1
Martín Montoya,6,0,1
Paul Akouokou,7,0,0
Cristian Tello,20,2,2
Youssouf Sabaly,5,0,1
Joaquín,15,0,1
Roberto González,4,0,0
Diego Lainez,6,0,0
Kike Hermoso,1,1,0
Víctor Camarasa,7,0,0
Calderón,1,0,0
Loren Morón,1,0,0
Raúl,1,0,0
Fran Delgado,0,0,0
Yassin Fekir,0,0,0
Marchena,0,0,0
Rebollo,0,0,0
Joel Robles,0,0,0
Sidnei,0,0,0
