Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_27,J_28,J_29,J_30,J_31,Avg_last_5_games
8,Real Madrid CF,Courtois,PT,161,5.2,6560000,100,"['1', '8', '4', '4', '5']",1,8,4,4,5,4.4
8,Real Madrid CF,Lunin,PT,0,0,370000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Éder Militão,DF,169,5.8,7470000,94,"['1', '-', '1', '6', '8']",1,0,1,6,8,3.2
8,Real Madrid CF,Alaba,DF,144,5.1,8130000,90,"['2', '4', '2', '3', '6']",2,4,2,3,6,3.4
8,Real Madrid CF,Lucas Vázquez,DF,103,4.5,2430000,45,"['3', '6', '2', '5', '15']",3,6,2,5,15,6.2
8,Real Madrid CF,Carvajal,DF,95,4.8,5300000,48,"['8', '2', '0', '2', '-']",8,2,0,2,0,2.4
8,Real Madrid CF,Ferland Mendy,DF,94,4.9,4580000,58,"['2', '2', '-', '6', '-']",2,2,0,6,0,2.0
8,Real Madrid CF,Nacho Fernández,DF,90,4.1,1920000,39,"['-', '6', '1', '4', '-']",0,6,1,4,0,2.2
8,Real Madrid CF,Marcelo,DF,44,4.4,1100000,13,"['5', '6', '-', '-', '8']",5,6,0,0,8,3.8
8,Real Madrid CF,Miguel Gutiérrez,DF,18,6,590000,10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Sergio Santos,DF,0,0,300000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Jesús Vallejo,DF,2,2,350000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Casemiro,MD,190,6.8,12570000,87,"['8', '5', '5', '6', '11']",8,5,5,6,11,7.0
8,Real Madrid CF,Kroos,MD,162,7.7,13620000,68,"['-', '8', '2', '6', '-']",0,8,2,6,0,3.2
8,Real Madrid CF,Modric,MD,131,5.7,12350000,68,"['15', '2', '0', '3', '-']",15,2,0,3,0,4.0
8,Real Madrid CF,Fede Valverde,MD,101,4,6750000,48,"['-', '1', '6', '1', '6']",0,1,6,1,6,2.8
8,Real Madrid CF,Camavinga,MD,87,4.4,4500000,26,"['11', '4', '2', '-', '5']",11,4,2,0,5,4.4
8,Real Madrid CF,Isco,MD,43,3.9,1060000,10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Dani Ceballos,MD,16,2.3,970000,0,"['2', '-', '-', '2', '4']",2,0,0,2,4,1.6
8,Real Madrid CF,Antonio Blanco,MD,4,4,330000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Sergio Arribas,MD,0,0,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Benzema,DL,288,10.7,20430000,87,"['14', '18', '-', '11', '6']",14,18,0,11,6,9.8
8,Real Madrid CF,Vinícius Júnior,DL,230,7.9,17940000,87,"['6', '11', '2', '2', '11']",6,11,2,2,11,6.4
8,Real Madrid CF,Asensio,DL,139,5.3,8720000,48,"['10', '2', '3', '4', '3']",10,2,3,4,3,4.4
8,Real Madrid CF,Rodrygo,DL,77,3,3150000,35,"['6', '3', '2', '5', '8']",6,3,2,5,8,4.8
8,Real Madrid CF,Eden Hazard,DL,72,4.2,3010000,23,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Jovic,DL,38,2.9,780000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Mariano Díaz,DL,22,4.4,450000,3,"['2', '-', '2', '-', '-']",2,0,2,0,0,0.8
8,Real Madrid CF,Bale,DL,20,4,1560000,13,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8
8,Real Madrid CF,Peter González,DL,4,2,400000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Marvin,DL,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
