Player,Matchs,Goals,Assists
Thibaut Courtois,34,0,0
Éder Militão,32,1,2
David Alaba,30,2,3
Casemiro,30,1,3
Karim Benzema,30,26,11
Vinicius Júnior,33,14,9
Toni Kroos,25,1,3
Luka Modrić,26,2,5
Lucas Vázquez,27,3,0
Marco Asensio,30,10,0
Ferland Mendy,20,1,1
Federico Valverde,28,0,1
Dani Carvajal,22,1,3
Nacho,25,3,0
Rodrygo,29,3,3
Eduardo Camavinga,23,2,1
Eden Hazard,17,0,1
Marcelo,10,0,2
Gareth Balew,5,1,0
Miguel Gutiérrez,3,0,1
Isco,12,1,0
Mariano,7,0,1
Dani Ceballos,9,0,0
Jesús Vallejo,3,0,0
Luka Jović,14,1,2
Andriy Lunin,1,0,0
Blanco,1,0,0
Mario Gila,1,0,0
Peter González,2,0,0
Sergio Santos,1,0,0
Toni Fuidias,0,0,0
Latasa,0,0,0
Luis López,0,0,0
Álvaro Odriozola,0,0,0
Diego Piñeiro,0,0,0
Rafa,0,0,0
