Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_34,J_35,J_36,J_37,J_38,Avg_last_5_games,Value
13,Real Sociedad de Fútbol,Alex Remiro,PT,37,92,1,1,183,5.2,"['8', '4', '6', '3', '2']",8,4,6,3,2,4.6,4490000
13,Real Sociedad de Fútbol,Ryan,PT,35,8,0,0,15,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
13,Real Sociedad de Fútbol,Le Normand,DF,34,97,3,2,191,5.2,"['6', '6', '-', '2', '4']",6,6,0,2,4,3.6,4930000
13,Real Sociedad de Fútbol,Aritz Elustondo,DF,36,58,2,1,143,4.8,"['2', '-', '7', '-', '3']",2,0,7,0,3,2.4,3500000
13,Real Sociedad de Fútbol,Gorosabel,DF,32,66,6,2,122,3.8,"['7', '6', '7', '7', '2']",7,6,7,7,2,5.8,2640000
13,Real Sociedad de Fútbol,Diego Rico,DF,32,50,0,4,80,3.8,"['2', '0', '7', '0', '1']",2,0,7,0,1,2.0,3040000
13,Real Sociedad de Fútbol,Zubeldia,DF,30,50,4,1,79,3,"['2', '2', '5', '2', '-']",2,2,5,2,0,2.2,990000
13,Real Sociedad de Fútbol,Zaldua,DF,25,37,2,4,77,3.2,"['2', '-', '-', '1', '3']",2,0,0,1,3,1.2,1190000
13,Real Sociedad de Fútbol,Aihen Muñoz,DF,33,39,4,0,46,2.3,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8,630000
13,Real Sociedad de Fútbol,Jon Pacheco,DF,22,11,9,3,34,3.4,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,590000
13,Real Sociedad de Fútbol,Kevin Rodrigues,DF,26,13,0,1,23,1.8,"['-', '-', '-', '2', '1']",0,0,0,2,1,0.6,480000
13,Real Sociedad de Fútbol,Álex Sola,DF,21,0,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,660000
13,Real Sociedad de Fútbol,Cristo Romero,DF,33,0,3,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
13,Real Sociedad de Fútbol,Modibo Sagnan,DF,37,0,1,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,160000
13,Real Sociedad de Fútbol,Mikel Merino,MD,20,87,0,0,173,5.1,"['3', '6', '5', '2', '5']",3,6,5,2,5,4.2,7870000
13,Real Sociedad de Fútbol,Zubimendi,MD,24,68,0,0,162,4.5,"['5', '9', '5', '10', '5']",5,9,5,10,5,6.8,3210000
13,Real Sociedad de Fútbol,Silva,MD,17,58,1,0,130,5.2,"['-', '13', '11', '5', '-']",0,13,11,5,0,5.8,5550000
13,Real Sociedad de Fútbol,Guevara,MD,17,29,0,0,54,3.2,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,620000
13,Real Sociedad de Fútbol,Ander Barrenetxea,MD,11,16,1,1,38,3.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,780000
13,Real Sociedad de Fútbol,Guridi,MD,8,3,0,0,26,2.9,"['-', '-', '2', '-', '11']",0,0,2,0,11,2.6,340000
13,Real Sociedad de Fútbol,Robert Navarro,MD,10,8,0,0,23,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
13,Real Sociedad de Fútbol,Beñat Turrientes,MD,3,3,0,0,22,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,390000
13,Real Sociedad de Fútbol,Illarramendi,MD,6,16,0,0,19,2.4,"['5', '-', '-', '1', '2']",5,0,0,1,2,1.6,1490000
13,Real Sociedad de Fútbol,Näis Djouahra,MD,13,3,2,0,17,2.4,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,390000
13,Real Sociedad de Fútbol,Merquelanz,MD,7,8,0,0,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
13,Real Sociedad de Fútbol,Ander Martín,MD,8,3,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
13,Real Sociedad de Fútbol,Germán Valera,MD,8,0,1,0,6,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
13,Real Sociedad de Fútbol,Isak,DL,5,68,0,0,134,4.2,"['2', '5', '-', '11', '1']",2,5,0,11,1,3.8,7490000
13,Real Sociedad de Fútbol,Oyarzabal,DL,3,50,0,0,128,5.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,5550000
13,Real Sociedad de Fútbol,Portu,DL,1,45,0,0,111,3,"['2', '2', '12', '2', '1']",2,2,12,2,1,3.8,3470000
13,Real Sociedad de Fútbol,Lobete,DL,2,5,0,0,34,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,510000
13,Real Sociedad de Fútbol,Jon Bautista,DL,1,0,0,0,5,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
13,Real Sociedad de Fútbol,Carlos Fernández,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,450000
