Player,Matchs,Goals,Assists
Robin ,31,1,1
Álex Remiro,28,0,0
Mikel Merino,27,3,2
Alexander Isak,26,5,2
Aritz Elustondo,26,4,1
Andoni Gorosabel,25,0,1
Martín Zubimendi,29,1,1
Mikel Oyarzabal,22,9,3
David Silva,21,1,3
Portu,30,0,2
Adnan Januzaj,26,2,0
Aihen Muñoz,19,0,0
Alexander Sørloth,26,2,0
Igor Zubeldia,20,0,1
Diego Rico,14,0,0
Joseba Zaldúa,20,0,0
Ander Guevara,15,0,0
Rafinha,10,1,0
Ander Barrenetxea,11,1,1
Jon Pacheco,9,0,0
Mathew Ryan,3,0,0
Roberto Navarro,6,0,0
Asier Illarramendi,4,0,0
Julen Lobete,13,2,0
Beñat Turrientes,8,0,0
Naïs Djouahra,6,0,0
Jon Guridi,5,0,0
Ander Martin,4,0,0
Germán Valera,3,0,0
Jon Bautista,1,0,0
Alex Sola,2,0,0
Cristo,1,0,0
Gaizka Ayesa,0,0,0
Jonathan Gomez,0,0,0
Urko González,0,0,0
Jon Karrikaburu,0,0,0
Unai Marrero,0,0,0
Olasagasti,0,0,0
