Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_26,J_27,J_28,J_29,J_30,Avg_last_5_games,Value
20,Sevilla FC,Bono,PT,26,80,2,0,139,5.8,"['5', '8', '2', '-', '8']",5,8,2,0,8,4.6,4800000
20,Sevilla FC,Dmitrovic,PT,24,17,0,2,28,5.6,"['-', '-', '-', '9', '-']",0,0,0,9,0,1.8,1060000
20,Sevilla FC,Javi Díaz,PT,29,3,0,1,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
20,Sevilla FC,Diego Carlos,DF,24,87,0,1,145,5.6,"['4', '-', '-', '-', '7']",4,0,0,0,7,2.2,7300000
20,Sevilla FC,Marcos Acuña,DF,24,63,1,1,136,5.7,"['5', '5', '4', '-', '-']",5,5,4,0,0,2.8,5390000
20,Sevilla FC,Kounde,DF,27,77,3,3,112,4.7,"['-', '9', '6', '8', '6']",0,9,6,8,6,5.8,6380000
20,Sevilla FC,Jesús Navas,DF,23,43,5,2,87,5.1,"['4', '7', '1', '6', '2']",4,7,1,6,2,4.0,6700000
20,Sevilla FC,Gonzalo Montiel,DF,24,43,1,3,61,4.1,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,1800000
20,Sevilla FC,Rekik,DF,27,37,8,0,54,3.4,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,850000
20,Sevilla FC,Augustinsson,DF,21,27,4,1,52,3.3,"['0', '2', '2', '7', '4']",0,2,2,7,4,3.0,800000
20,Sevilla FC,José Ángel Carmona,DF,17,0,0,2,3,3,"['-', '-', '3', '-', '-']",0,0,3,0,0,0.6,260000
20,Sevilla FC,Rakitic,MD,15,67,1,2,144,5.3,"['9', '5', '4', '5', '1']",9,5,4,5,1,4.8,8660000
20,Sevilla FC,Joan Jordan,MD,20,80,2,1,119,4.1,"['5', '4', '-', '2', '5']",5,4,0,2,5,3.2,5650000
20,Sevilla FC,Fernando Reges,MD,16,70,0,2,104,4.3,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8,4020000
20,Sevilla FC,Papu Gómez,MD,19,43,2,1,98,4.7,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8,3560000
20,Sevilla FC,Delaney,MD,16,40,3,1,88,4.4,"['5', '5', '11', '6', '-']",5,5,11,6,0,5.4,3300000
20,Sevilla FC,Óliver Torres,MD,16,33,0,1,68,3.6,"['2', '3', '2', '7', '-']",2,3,2,7,0,2.8,1570000
20,Sevilla FC,Gudelj,MD,16,23,0,0,62,3.9,"['3', '6', '4', '8', '4']",3,6,4,8,4,5.0,1020000
20,Sevilla FC,Pedro Ortiz,MD,14,0,4,1,5,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
20,Sevilla FC,Luismi Cruz,MD,10,0,0,2,3,3,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,350000
20,Sevilla FC,Juanlu Sánchez,MD,8,0,0,1,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
20,Sevilla FC,Rafa Mir,DL,5,57,0,0,114,4.2,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6,5960000
20,Sevilla FC,Ocampos,DL,6,63,0,1,95,4.1,"['-', '4', '2', '1', '0']",0,4,2,1,0,1.4,7840000
20,Sevilla FC,Erik Lamela,DL,16,20,2,0,76,5.4,"['-', '-', '-', '5', '2']",0,0,0,5,2,1.4,5370000
20,Sevilla FC,En-Nesyri,DL,11,30,0,0,58,3.6,"['3', '2', '2', '2', '2']",3,2,2,2,2,2.2,5720000
20,Sevilla FC,Munir El Haddadi,DL,4,13,0,0,54,3.4,"['8', '2', '2', '2', '-']",8,2,2,2,0,2.8,1230000
20,Sevilla FC,Jesús Corona,DL,5,20,0,0,33,3.3,"['5', '4', '6', '2', '2']",5,4,6,2,2,3.8,8240000
20,Sevilla FC,Suso,DL,1,20,0,0,27,3.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,980000
20,Sevilla FC,Martial,DL,1,17,0,0,15,2.5,"['-', '-', '2', '2', '1']",0,0,2,2,1,1.0,10480000
20,Sevilla FC,Iván Romero,DL,2,7,0,0,5,1.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
