Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_27,J_28,J_29,J_30,J_31,Avg_last_5_games
20,Sevilla FC,Bono,PT,142,5.7,4790000,81,"['8', '2', '-', '8', '3']",8,2,0,8,3,4.2
20,Sevilla FC,Dmitrovic,PT,28,5.6,1030000,16,"['-', '-', '9', '-', '-']",0,0,9,0,0,1.8
20,Sevilla FC,Javi Díaz,PT,2,2,230000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Diego Carlos,DF,159,5.9,7520000,87,"['-', '-', '-', '7', '14']",0,0,0,7,14,4.2
20,Sevilla FC,Marcos Acuña,DF,136,5.7,5530000,61,"['5', '4', '-', '-', '-']",5,4,0,0,0,1.8
20,Sevilla FC,Kounde,DF,119,4.8,6360000,77,"['9', '6', '8', '6', '7']",9,6,8,6,7,7.2
20,Sevilla FC,Jesús Navas,DF,93,5.2,6710000,45,"['7', '1', '6', '2', '6']",7,1,6,2,6,4.4
20,Sevilla FC,Gonzalo Montiel,DF,61,4.1,1590000,42,"['-', '-', '2', '2', '-']",0,0,2,2,0,0.8
20,Sevilla FC,Augustinsson,DF,56,3.3,800000,29,"['2', '2', '7', '4', '4']",2,2,7,4,4,3.8
20,Sevilla FC,Rekik,DF,54,3.4,1000000,35,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
20,Sevilla FC,José Ángel Carmona,DF,3,3,260000,0,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6
20,Sevilla FC,Rakitic,MD,155,5.5,8380000,68,"['5', '4', '5', '1', '11']",5,4,5,1,11,5.2
20,Sevilla FC,Joan Jordan,MD,125,4.2,5580000,81,"['4', '-', '2', '5', '6']",4,0,2,5,6,3.4
20,Sevilla FC,Papu Gómez,MD,109,5,4390000,42,"['-', '-', '-', '-', '11']",0,0,0,0,11,2.2
20,Sevilla FC,Fernando Reges,MD,104,4.3,3830000,68,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Delaney,MD,88,4.4,2890000,39,"['5', '11', '6', '-', '-']",5,11,6,0,0,4.4
20,Sevilla FC,Óliver Torres,MD,74,3.7,1660000,32,"['3', '2', '7', '-', '6']",3,2,7,0,6,3.6
20,Sevilla FC,Gudelj,MD,64,3.8,980000,23,"['6', '4', '8', '4', '2']",6,4,8,4,2,4.8
20,Sevilla FC,Pedro Ortiz,MD,5,5,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Luismi Cruz,MD,3,3,340000,0,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6
20,Sevilla FC,Juanlu Sánchez,MD,2,2,330000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Rafa Mir,DL,123,4.4,6560000,55,"['2', '2', '-', '2', '9']",2,2,0,2,9,3.0
20,Sevilla FC,Ocampos,DL,105,4.4,7280000,65,"['4', '2', '1', '0', '10']",4,2,1,0,10,3.4
20,Sevilla FC,Erik Lamela,DL,80,5.3,5910000,19,"['-', '-', '5', '2', '4']",0,0,5,2,4,2.2
20,Sevilla FC,En-Nesyri,DL,60,3.5,5590000,32,"['2', '2', '2', '2', '2']",2,2,2,2,2,2.0
20,Sevilla FC,Munir El Haddadi,DL,54,3.4,1220000,13,"['2', '2', '2', '-', '-']",2,2,2,0,0,1.2
20,Sevilla FC,Jesús Corona,DL,41,3.7,7850000,23,"['4', '6', '2', '2', '8']",4,6,2,2,8,4.4
20,Sevilla FC,Suso,DL,27,3.4,920000,19,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Martial,DL,16,2.3,9900000,19,"['-', '2', '2', '1', '1']",0,2,2,1,1,1.2
20,Sevilla FC,Iván Romero,DL,5,1.7,290000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
