Player,Matchs,Goals,Assists
Diego Carlos,30,3,0
Yassine Bounou,28,0,2
Joan Jordán,33,0,1
Jules Koundé,28,1,1
Ivan Rakitić,31,4,6
Lucas Ocampos,27,6,4
Marcos Acuña,27,1,3
Fernando,24,1,1
Rafa Mir,30,9,0
Jesús Navas,21,0,3
Papu Gómez,25,5,1
Gonzalo Montiel,16,1,2
Thomas Delaney,22,2,1
Youssef En-Nesyri,19,4,1
Karim Rekik,16,0,2
Óliver Torres,23,2,2
Jesús Corona,14,2,4
Ludwig Augustinsson,19,0,1
Érik Lamela,17,5,1
Nemanja Gudelj,18,0,0
Anthony Martial,8,0,1
Suso,8,0,1
Marko Dmitrović,5,0,0
Munir ,16,2,0
Óscar Rodrígu,11,0,0
Iván Romero,5,0,0
Oussama Idrissi,5,0,0
Javier Díaz,1,0,0
Carmona,1,0,0
Luismi,2,0,0
Pedro Ortiz,1,0,0
Juan Sánchez,1,0,0
Valentino Scotta,1,0,0
Luuk ,0,0,0
Juanlu,0,0,0
Alberto López,0,0,0
Alfonso Pastor,0,0,0
Pablo Pérez,0,0,0
Alejandro Po,0,0,0
Nacho Quintana,0,0,0
Enrique Valiente,0,0,0
Zarzana,0,0,0
